"ID","LABEL","key","props_json"
"Pipeline|ASD_privacy_walkthrough","Pipeline","ASD_privacy_walkthrough","{""key"": ""ASD_privacy_walkthrough"", ""name"": ""ASD_privacy_walkthrough""}"
"PipelineRun|asd_run_001","PipelineRun","asd_run_001","{""key"": ""asd_run_001"", ""Pipeline_id"": ""ASD_privacy_walkthrough"", ""purpose"": ""clinical_research"", ""started_at"": 1779688042.2853427}"
"DatasetArtifact|D6_EnrichedEpisodeData","DatasetArtifact","D6_EnrichedEpisodeData","{""key"": ""D6_EnrichedEpisodeData"", ""name"": ""D6_EnrichedEpisodeData"", ""role"": ""enriched"", ""source"": ""manual_register"", ""n_rows"": 4, ""n_cols"": 11, ""columns"": [""Id"", ""window_start"", ""HR_res"", ""EDA_res"", ""ACC_res"", ""chall_behav"", ""sev"", ""age_grp"", ""sex"", ""clinic_site"", ""diag""], ""record_id_col"": null, ""artifact_kind"": ""DatasetArtifact"", ""privacy_categories"": [""direct_identifier"", ""temporal_quasi_identifier"", ""quasi_identifier"", ""biometric"", ""health"", ""behavioural_sensor_data"", ""behavioural_sensitive"", ""organisational_context"", ""reidentification_risk"", ""identifier"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""direct_identifier"", ""temporal_quasi_identifier"", ""quasi_identifier"", ""biometric"", ""health"", ""behavioural_sensor_data"", ""behavioural_sensitive"", ""organisational_context"", ""reidentification_risk""], ""privacy_usages"": [""clinical_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""CL"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataRecordArtifact|D6_EnrichedEpisodeData::record::0","DataRecordArtifact","D6_EnrichedEpisodeData::record::0","{""key"": ""D6_EnrichedEpisodeData::record::0"", ""record_id"": ""0"", ""dataset_id"": ""D6_EnrichedEpisodeData"", ""artifact_kind"": ""DataRecordArtifact"", ""privacy_categories"": [], ""privacy_categories_explicit"": [], ""privacy_usages"": [""clinical_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""CL"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D6_EnrichedEpisodeData::record::0::cell::Id","DataCellArtifact","D6_EnrichedEpisodeData::record::0::cell::Id","{""key"": ""D6_EnrichedEpisodeData::record::0::cell::Id"", ""record_id"": ""0"", ""dataset_id"": ""D6_EnrichedEpisodeData"", ""attribute"": ""Id"", ""value"": ""C001"", ""dtype"": ""str"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""direct_identifier"", ""identifier""], ""privacy_categories_explicit"": [""direct_identifier""], ""privacy_usages"": [""clinical_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""CL"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D6_EnrichedEpisodeData::record::0::cell::window_start","DataCellArtifact","D6_EnrichedEpisodeData::record::0::cell::window_start","{""key"": ""D6_EnrichedEpisodeData::record::0::cell::window_start"", ""record_id"": ""0"", ""dataset_id"": ""D6_EnrichedEpisodeData"", ""attribute"": ""window_start"", ""value"": ""09:00:00"", ""dtype"": ""str"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""temporal_quasi_identifier"", ""quasi_identifier""], ""privacy_categories_explicit"": [""temporal_quasi_identifier""], ""privacy_usages"": [""clinical_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""CL"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D6_EnrichedEpisodeData::record::0::cell::HR_res","DataCellArtifact","D6_EnrichedEpisodeData::record::0::cell::HR_res","{""key"": ""D6_EnrichedEpisodeData::record::0::cell::HR_res"", ""record_id"": ""0"", ""dataset_id"": ""D6_EnrichedEpisodeData"", ""attribute"": ""HR_res"", ""value"": 119.6, ""dtype"": ""float64"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""biometric"", ""health"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""biometric"", ""health""], ""privacy_usages"": [""clinical_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""CL"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D6_EnrichedEpisodeData::record::0::cell::EDA_res","DataCellArtifact","D6_EnrichedEpisodeData::record::0::cell::EDA_res","{""key"": ""D6_EnrichedEpisodeData::record::0::cell::EDA_res"", ""record_id"": ""0"", ""dataset_id"": ""D6_EnrichedEpisodeData"", ""attribute"": ""EDA_res"", ""value"": 3.8, ""dtype"": ""float64"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""biometric"", ""health"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""biometric"", ""health""], ""privacy_usages"": [""clinical_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""CL"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D6_EnrichedEpisodeData::record::0::cell::ACC_res","DataCellArtifact","D6_EnrichedEpisodeData::record::0::cell::ACC_res","{""key"": ""D6_EnrichedEpisodeData::record::0::cell::ACC_res"", ""record_id"": ""0"", ""dataset_id"": ""D6_EnrichedEpisodeData"", ""attribute"": ""ACC_res"", ""value"": 0.52, ""dtype"": ""float64"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""behavioural_sensor_data""], ""privacy_categories_explicit"": [""behavioural_sensor_data""], ""privacy_usages"": [""clinical_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""CL"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D6_EnrichedEpisodeData::record::0::cell::chall_behav","DataCellArtifact","D6_EnrichedEpisodeData::record::0::cell::chall_behav","{""key"": ""D6_EnrichedEpisodeData::record::0::cell::chall_behav"", ""record_id"": ""0"", ""dataset_id"": ""D6_EnrichedEpisodeData"", ""attribute"": ""chall_behav"", ""value"": ""yes"", ""dtype"": ""str"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""health"", ""behavioural_sensitive"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""health"", ""behavioural_sensitive""], ""privacy_usages"": [""clinical_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""CL"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D6_EnrichedEpisodeData::record::0::cell::sev","DataCellArtifact","D6_EnrichedEpisodeData::record::0::cell::sev","{""key"": ""D6_EnrichedEpisodeData::record::0::cell::sev"", ""record_id"": ""0"", ""dataset_id"": ""D6_EnrichedEpisodeData"", ""attribute"": ""sev"", ""value"": 4, ""dtype"": ""int64"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""health"", ""behavioural_sensitive"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""health"", ""behavioural_sensitive""], ""privacy_usages"": [""clinical_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""CL"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D6_EnrichedEpisodeData::record::0::cell::age_grp","DataCellArtifact","D6_EnrichedEpisodeData::record::0::cell::age_grp","{""key"": ""D6_EnrichedEpisodeData::record::0::cell::age_grp"", ""record_id"": ""0"", ""dataset_id"": ""D6_EnrichedEpisodeData"", ""attribute"": ""age_grp"", ""value"": ""6-8"", ""dtype"": ""str"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""quasi_identifier""], ""privacy_categories_explicit"": [""quasi_identifier""], ""privacy_usages"": [""clinical_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""CL"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D6_EnrichedEpisodeData::record::0::cell::sex","DataCellArtifact","D6_EnrichedEpisodeData::record::0::cell::sex","{""key"": ""D6_EnrichedEpisodeData::record::0::cell::sex"", ""record_id"": ""0"", ""dataset_id"": ""D6_EnrichedEpisodeData"", ""attribute"": ""sex"", ""value"": ""M"", ""dtype"": ""str"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""quasi_identifier""], ""privacy_categories_explicit"": [""quasi_identifier""], ""privacy_usages"": [""clinical_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""CL"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D6_EnrichedEpisodeData::record::0::cell::clinic_site","DataCellArtifact","D6_EnrichedEpisodeData::record::0::cell::clinic_site","{""key"": ""D6_EnrichedEpisodeData::record::0::cell::clinic_site"", ""record_id"": ""0"", ""dataset_id"": ""D6_EnrichedEpisodeData"", ""attribute"": ""clinic_site"", ""value"": ""SiteA"", ""dtype"": ""str"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""quasi_identifier"", ""organisational_context""], ""privacy_categories_explicit"": [""quasi_identifier"", ""organisational_context""], ""privacy_usages"": [""clinical_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""CL"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D6_EnrichedEpisodeData::record::0::cell::diag","DataCellArtifact","D6_EnrichedEpisodeData::record::0::cell::diag","{""key"": ""D6_EnrichedEpisodeData::record::0::cell::diag"", ""record_id"": ""0"", ""dataset_id"": ""D6_EnrichedEpisodeData"", ""attribute"": ""diag"", ""value"": ""ASD"", ""dtype"": ""str"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""health"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""health"", ""sensitive_personal_data""], ""privacy_usages"": [""clinical_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""CL"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
