"START_ID","END_ID","TYPE","props_json"
"PipelineRun|asd_run_001","Pipeline|ASD_privacy_walkthrough","executes","{}"
"DatasetArtifact|D6_EnrichedEpisodeData","DataRecordArtifact|D6_EnrichedEpisodeData::record::0","containsDR","{}"
"DataRecordArtifact|D6_EnrichedEpisodeData::record::0","DataCellArtifact|D6_EnrichedEpisodeData::record::0::cell::Id","containsRC","{}"
"DataRecordArtifact|D6_EnrichedEpisodeData::record::0","DataCellArtifact|D6_EnrichedEpisodeData::record::0::cell::window_start","containsRC","{}"
"DataRecordArtifact|D6_EnrichedEpisodeData::record::0","DataCellArtifact|D6_EnrichedEpisodeData::record::0::cell::HR_res","containsRC","{}"
"DataRecordArtifact|D6_EnrichedEpisodeData::record::0","DataCellArtifact|D6_EnrichedEpisodeData::record::0::cell::EDA_res","containsRC","{}"
"DataRecordArtifact|D6_EnrichedEpisodeData::record::0","DataCellArtifact|D6_EnrichedEpisodeData::record::0::cell::ACC_res","containsRC","{}"
"DataRecordArtifact|D6_EnrichedEpisodeData::record::0","DataCellArtifact|D6_EnrichedEpisodeData::record::0::cell::chall_behav","containsRC","{}"
"DataRecordArtifact|D6_EnrichedEpisodeData::record::0","DataCellArtifact|D6_EnrichedEpisodeData::record::0::cell::sev","containsRC","{}"
"DataRecordArtifact|D6_EnrichedEpisodeData::record::0","DataCellArtifact|D6_EnrichedEpisodeData::record::0::cell::age_grp","containsRC","{}"
"DataRecordArtifact|D6_EnrichedEpisodeData::record::0","DataCellArtifact|D6_EnrichedEpisodeData::record::0::cell::sex","containsRC","{}"
"DataRecordArtifact|D6_EnrichedEpisodeData::record::0","DataCellArtifact|D6_EnrichedEpisodeData::record::0::cell::clinic_site","containsRC","{}"
"DataRecordArtifact|D6_EnrichedEpisodeData::record::0","DataCellArtifact|D6_EnrichedEpisodeData::record::0::cell::diag","containsRC","{}"
"DatasetArtifact|D6_EnrichedEpisodeData","DataRecordArtifact|D6_EnrichedEpisodeData::record::1","containsDR","{}"
"DataRecordArtifact|D6_EnrichedEpisodeData::record::1","DataCellArtifact|D6_EnrichedEpisodeData::record::1::cell::Id","containsRC","{}"
"DataRecordArtifact|D6_EnrichedEpisodeData::record::1","DataCellArtifact|D6_EnrichedEpisodeData::record::1::cell::window_start","containsRC","{}"
"DataRecordArtifact|D6_EnrichedEpisodeData::record::1","DataCellArtifact|D6_EnrichedEpisodeData::record::1::cell::HR_res","containsRC","{}"
"DataRecordArtifact|D6_EnrichedEpisodeData::record::1","DataCellArtifact|D6_EnrichedEpisodeData::record::1::cell::EDA_res","containsRC","{}"
"DataRecordArtifact|D6_EnrichedEpisodeData::record::1","DataCellArtifact|D6_EnrichedEpisodeData::record::1::cell::ACC_res","containsRC","{}"
"DataRecordArtifact|D6_EnrichedEpisodeData::record::1","DataCellArtifact|D6_EnrichedEpisodeData::record::1::cell::chall_behav","containsRC","{}"
"DataRecordArtifact|D6_EnrichedEpisodeData::record::1","DataCellArtifact|D6_EnrichedEpisodeData::record::1::cell::sev","containsRC","{}"
"DataRecordArtifact|D6_EnrichedEpisodeData::record::1","DataCellArtifact|D6_EnrichedEpisodeData::record::1::cell::age_grp","containsRC","{}"
"DataRecordArtifact|D6_EnrichedEpisodeData::record::1","DataCellArtifact|D6_EnrichedEpisodeData::record::1::cell::sex","containsRC","{}"
"DataRecordArtifact|D6_EnrichedEpisodeData::record::1","DataCellArtifact|D6_EnrichedEpisodeData::record::1::cell::clinic_site","containsRC","{}"
"DataRecordArtifact|D6_EnrichedEpisodeData::record::1","DataCellArtifact|D6_EnrichedEpisodeData::record::1::cell::diag","containsRC","{}"
"DatasetArtifact|D6_EnrichedEpisodeData","DataRecordArtifact|D6_EnrichedEpisodeData::record::2","containsDR","{}"
"DataRecordArtifact|D6_EnrichedEpisodeData::record::2","DataCellArtifact|D6_EnrichedEpisodeData::record::2::cell::Id","containsRC","{}"
"DataRecordArtifact|D6_EnrichedEpisodeData::record::2","DataCellArtifact|D6_EnrichedEpisodeData::record::2::cell::window_start","containsRC","{}"
"DataRecordArtifact|D6_EnrichedEpisodeData::record::2","DataCellArtifact|D6_EnrichedEpisodeData::record::2::cell::HR_res","containsRC","{}"
"DataRecordArtifact|D6_EnrichedEpisodeData::record::2","DataCellArtifact|D6_EnrichedEpisodeData::record::2::cell::EDA_res","containsRC","{}"
"DataRecordArtifact|D6_EnrichedEpisodeData::record::2","DataCellArtifact|D6_EnrichedEpisodeData::record::2::cell::ACC_res","containsRC","{}"
"DataRecordArtifact|D6_EnrichedEpisodeData::record::2","DataCellArtifact|D6_EnrichedEpisodeData::record::2::cell::chall_behav","containsRC","{}"
"DataRecordArtifact|D6_EnrichedEpisodeData::record::2","DataCellArtifact|D6_EnrichedEpisodeData::record::2::cell::sev","containsRC","{}"
"DataRecordArtifact|D6_EnrichedEpisodeData::record::2","DataCellArtifact|D6_EnrichedEpisodeData::record::2::cell::age_grp","containsRC","{}"
"DataRecordArtifact|D6_EnrichedEpisodeData::record::2","DataCellArtifact|D6_EnrichedEpisodeData::record::2::cell::sex","containsRC","{}"
"DataRecordArtifact|D6_EnrichedEpisodeData::record::2","DataCellArtifact|D6_EnrichedEpisodeData::record::2::cell::clinic_site","containsRC","{}"
"DataRecordArtifact|D6_EnrichedEpisodeData::record::2","DataCellArtifact|D6_EnrichedEpisodeData::record::2::cell::diag","containsRC","{}"
"DatasetArtifact|D6_EnrichedEpisodeData","DataRecordArtifact|D6_EnrichedEpisodeData::record::3","containsDR","{}"
"DataRecordArtifact|D6_EnrichedEpisodeData::record::3","DataCellArtifact|D6_EnrichedEpisodeData::record::3::cell::Id","containsRC","{}"
"DataRecordArtifact|D6_EnrichedEpisodeData::record::3","DataCellArtifact|D6_EnrichedEpisodeData::record::3::cell::window_start","containsRC","{}"
"DataRecordArtifact|D6_EnrichedEpisodeData::record::3","DataCellArtifact|D6_EnrichedEpisodeData::record::3::cell::HR_res","containsRC","{}"
"DataRecordArtifact|D6_EnrichedEpisodeData::record::3","DataCellArtifact|D6_EnrichedEpisodeData::record::3::cell::EDA_res","containsRC","{}"
"DataRecordArtifact|D6_EnrichedEpisodeData::record::3","DataCellArtifact|D6_EnrichedEpisodeData::record::3::cell::ACC_res","containsRC","{}"
"DataRecordArtifact|D6_EnrichedEpisodeData::record::3","DataCellArtifact|D6_EnrichedEpisodeData::record::3::cell::chall_behav","containsRC","{}"
"DataRecordArtifact|D6_EnrichedEpisodeData::record::3","DataCellArtifact|D6_EnrichedEpisodeData::record::3::cell::sev","containsRC","{}"
"DataRecordArtifact|D6_EnrichedEpisodeData::record::3","DataCellArtifact|D6_EnrichedEpisodeData::record::3::cell::age_grp","containsRC","{}"
"DataRecordArtifact|D6_EnrichedEpisodeData::record::3","DataCellArtifact|D6_EnrichedEpisodeData::record::3::cell::sex","containsRC","{}"
"DataRecordArtifact|D6_EnrichedEpisodeData::record::3","DataCellArtifact|D6_EnrichedEpisodeData::record::3::cell::clinic_site","containsRC","{}"
"DataRecordArtifact|D6_EnrichedEpisodeData::record::3","DataCellArtifact|D6_EnrichedEpisodeData::record::3::cell::diag","containsRC","{}"
"PipelineRun|asd_run_001","StepRun|asd_run_001::001::S5_normalise","contains","{}"
"StepRun|asd_run_001::001::S5_normalise","Step|S5_normalise","executes","{}"
"StepRun|asd_run_001::001::S5_normalise","DatasetArtifact|D6_EnrichedEpisodeData","used","{}"
"DatasetArtifact|D7_NormalizedEpisodeData","DataRecordArtifact|D7_NormalizedEpisodeData::record::0","containsDR","{}"
"DataRecordArtifact|D7_NormalizedEpisodeData::record::0","DataCellArtifact|D7_NormalizedEpisodeData::record::0::cell::Id","containsRC","{}"
"DataRecordArtifact|D7_NormalizedEpisodeData::record::0","DataCellArtifact|D7_NormalizedEpisodeData::record::0::cell::window_start","containsRC","{}"
"DataRecordArtifact|D7_NormalizedEpisodeData::record::0","DataCellArtifact|D7_NormalizedEpisodeData::record::0::cell::HR_norm","containsRC","{}"
"DataRecordArtifact|D7_NormalizedEpisodeData::record::0","DataCellArtifact|D7_NormalizedEpisodeData::record::0::cell::EDA_norm","containsRC","{}"
"DataRecordArtifact|D7_NormalizedEpisodeData::record::0","DataCellArtifact|D7_NormalizedEpisodeData::record::0::cell::ACC_norm","containsRC","{}"
"DataRecordArtifact|D7_NormalizedEpisodeData::record::0","DataCellArtifact|D7_NormalizedEpisodeData::record::0::cell::chall_behav","containsRC","{}"
"DataRecordArtifact|D7_NormalizedEpisodeData::record::0","DataCellArtifact|D7_NormalizedEpisodeData::record::0::cell::sev","containsRC","{}"
"DataRecordArtifact|D7_NormalizedEpisodeData::record::0","DataCellArtifact|D7_NormalizedEpisodeData::record::0::cell::age_grp","containsRC","{}"
"DataRecordArtifact|D7_NormalizedEpisodeData::record::0","DataCellArtifact|D7_NormalizedEpisodeData::record::0::cell::sex","containsRC","{}"
"DataRecordArtifact|D7_NormalizedEpisodeData::record::0","DataCellArtifact|D7_NormalizedEpisodeData::record::0::cell::clinic_site","containsRC","{}"
"DataRecordArtifact|D7_NormalizedEpisodeData::record::0","DataCellArtifact|D7_NormalizedEpisodeData::record::0::cell::diag","containsRC","{}"
"DatasetArtifact|D7_NormalizedEpisodeData","DataRecordArtifact|D7_NormalizedEpisodeData::record::1","containsDR","{}"
"DataRecordArtifact|D7_NormalizedEpisodeData::record::1","DataCellArtifact|D7_NormalizedEpisodeData::record::1::cell::Id","containsRC","{}"
"DataRecordArtifact|D7_NormalizedEpisodeData::record::1","DataCellArtifact|D7_NormalizedEpisodeData::record::1::cell::window_start","containsRC","{}"
"DataRecordArtifact|D7_NormalizedEpisodeData::record::1","DataCellArtifact|D7_NormalizedEpisodeData::record::1::cell::HR_norm","containsRC","{}"
"DataRecordArtifact|D7_NormalizedEpisodeData::record::1","DataCellArtifact|D7_NormalizedEpisodeData::record::1::cell::EDA_norm","containsRC","{}"
"DataRecordArtifact|D7_NormalizedEpisodeData::record::1","DataCellArtifact|D7_NormalizedEpisodeData::record::1::cell::ACC_norm","containsRC","{}"
"DataRecordArtifact|D7_NormalizedEpisodeData::record::1","DataCellArtifact|D7_NormalizedEpisodeData::record::1::cell::chall_behav","containsRC","{}"
"DataRecordArtifact|D7_NormalizedEpisodeData::record::1","DataCellArtifact|D7_NormalizedEpisodeData::record::1::cell::sev","containsRC","{}"
"DataRecordArtifact|D7_NormalizedEpisodeData::record::1","DataCellArtifact|D7_NormalizedEpisodeData::record::1::cell::age_grp","containsRC","{}"
"DataRecordArtifact|D7_NormalizedEpisodeData::record::1","DataCellArtifact|D7_NormalizedEpisodeData::record::1::cell::sex","containsRC","{}"
"DataRecordArtifact|D7_NormalizedEpisodeData::record::1","DataCellArtifact|D7_NormalizedEpisodeData::record::1::cell::clinic_site","containsRC","{}"
"DataRecordArtifact|D7_NormalizedEpisodeData::record::1","DataCellArtifact|D7_NormalizedEpisodeData::record::1::cell::diag","containsRC","{}"
"DatasetArtifact|D7_NormalizedEpisodeData","DataRecordArtifact|D7_NormalizedEpisodeData::record::2","containsDR","{}"
"DataRecordArtifact|D7_NormalizedEpisodeData::record::2","DataCellArtifact|D7_NormalizedEpisodeData::record::2::cell::Id","containsRC","{}"
"DataRecordArtifact|D7_NormalizedEpisodeData::record::2","DataCellArtifact|D7_NormalizedEpisodeData::record::2::cell::window_start","containsRC","{}"
"DataRecordArtifact|D7_NormalizedEpisodeData::record::2","DataCellArtifact|D7_NormalizedEpisodeData::record::2::cell::HR_norm","containsRC","{}"
"DataRecordArtifact|D7_NormalizedEpisodeData::record::2","DataCellArtifact|D7_NormalizedEpisodeData::record::2::cell::EDA_norm","containsRC","{}"
"DataRecordArtifact|D7_NormalizedEpisodeData::record::2","DataCellArtifact|D7_NormalizedEpisodeData::record::2::cell::ACC_norm","containsRC","{}"
"DataRecordArtifact|D7_NormalizedEpisodeData::record::2","DataCellArtifact|D7_NormalizedEpisodeData::record::2::cell::chall_behav","containsRC","{}"
"DataRecordArtifact|D7_NormalizedEpisodeData::record::2","DataCellArtifact|D7_NormalizedEpisodeData::record::2::cell::sev","containsRC","{}"
"DataRecordArtifact|D7_NormalizedEpisodeData::record::2","DataCellArtifact|D7_NormalizedEpisodeData::record::2::cell::age_grp","containsRC","{}"
"DataRecordArtifact|D7_NormalizedEpisodeData::record::2","DataCellArtifact|D7_NormalizedEpisodeData::record::2::cell::sex","containsRC","{}"
"DataRecordArtifact|D7_NormalizedEpisodeData::record::2","DataCellArtifact|D7_NormalizedEpisodeData::record::2::cell::clinic_site","containsRC","{}"
"DataRecordArtifact|D7_NormalizedEpisodeData::record::2","DataCellArtifact|D7_NormalizedEpisodeData::record::2::cell::diag","containsRC","{}"
"DatasetArtifact|D7_NormalizedEpisodeData","DataRecordArtifact|D7_NormalizedEpisodeData::record::3","containsDR","{}"
"DataRecordArtifact|D7_NormalizedEpisodeData::record::3","DataCellArtifact|D7_NormalizedEpisodeData::record::3::cell::Id","containsRC","{}"
"DataRecordArtifact|D7_NormalizedEpisodeData::record::3","DataCellArtifact|D7_NormalizedEpisodeData::record::3::cell::window_start","containsRC","{}"
"DataRecordArtifact|D7_NormalizedEpisodeData::record::3","DataCellArtifact|D7_NormalizedEpisodeData::record::3::cell::HR_norm","containsRC","{}"
"DataRecordArtifact|D7_NormalizedEpisodeData::record::3","DataCellArtifact|D7_NormalizedEpisodeData::record::3::cell::EDA_norm","containsRC","{}"
"DataRecordArtifact|D7_NormalizedEpisodeData::record::3","DataCellArtifact|D7_NormalizedEpisodeData::record::3::cell::ACC_norm","containsRC","{}"
"DataRecordArtifact|D7_NormalizedEpisodeData::record::3","DataCellArtifact|D7_NormalizedEpisodeData::record::3::cell::chall_behav","containsRC","{}"
"DataRecordArtifact|D7_NormalizedEpisodeData::record::3","DataCellArtifact|D7_NormalizedEpisodeData::record::3::cell::sev","containsRC","{}"
"DataRecordArtifact|D7_NormalizedEpisodeData::record::3","DataCellArtifact|D7_NormalizedEpisodeData::record::3::cell::age_grp","containsRC","{}"
"DataRecordArtifact|D7_NormalizedEpisodeData::record::3","DataCellArtifact|D7_NormalizedEpisodeData::record::3::cell::sex","containsRC","{}"
"DataRecordArtifact|D7_NormalizedEpisodeData::record::3","DataCellArtifact|D7_NormalizedEpisodeData::record::3::cell::clinic_site","containsRC","{}"
