"ID","LABEL","key","props_json"
"Pipeline|compas_recidivism_pipeline","Pipeline","compas_recidivism_pipeline","{""key"": ""compas_recidivism_pipeline"", ""name"": ""compas_recidivism_pipeline""}"
"PipelineRun|run_fc7d525c22","PipelineRun","run_fc7d525c22","{""key"": ""run_fc7d525c22"", ""Pipeline_id"": ""compas_recidivism_pipeline"", ""purpose"": ""criminal_justice_research"", ""started_at"": 1780834722.4412344}"
"DatasetArtifact|D0_COMPASRaw","DatasetArtifact","D0_COMPASRaw","{""key"": ""D0_COMPASRaw"", ""name"": ""D0_COMPASRaw"", ""role"": ""raw_compas"", ""source"": ""manual_register"", ""n_rows"": 6, ""n_cols"": 10, ""columns"": [""age"", ""c_charge_degree"", ""race"", ""sex"", ""priors_count"", ""days_b_screening_arrest"", ""two_year_recid"", ""c_jail_in"", ""c_jail_out"", ""irrelevant_col""], ""record_id_col"": null, ""artifact_kind"": ""DatasetArtifact"", ""privacy_categories"": [], ""privacy_categories_explicit"": [], ""privacy_usages"": [""research"", ""criminal_justice_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataRecordArtifact|D0_COMPASRaw::record::0","DataRecordArtifact","D0_COMPASRaw::record::0","{""key"": ""D0_COMPASRaw::record::0"", ""record_id"": ""0"", ""dataset_id"": ""D0_COMPASRaw"", ""artifact_kind"": ""DataRecordArtifact"", ""privacy_categories"": [], ""privacy_categories_explicit"": [], ""privacy_usages"": [""research"", ""criminal_justice_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_COMPASRaw::record::0::cell::age","DataCellArtifact","D0_COMPASRaw::record::0::cell::age","{""key"": ""D0_COMPASRaw::record::0::cell::age"", ""record_id"": ""0"", ""dataset_id"": ""D0_COMPASRaw"", ""attribute"": ""age"", ""value"": 25, ""dtype"": ""int64"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""quasi_identifier"", ""personal_data""], ""privacy_categories_explicit"": [""quasi_identifier""], ""privacy_usages"": [""research"", ""criminal_justice_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_COMPASRaw::record::0::cell::c_charge_degree","DataCellArtifact","D0_COMPASRaw::record::0::cell::c_charge_degree","{""key"": ""D0_COMPASRaw::record::0::cell::c_charge_degree"", ""record_id"": ""0"", ""dataset_id"": ""D0_COMPASRaw"", ""attribute"": ""c_charge_degree"", ""value"": ""F"", ""dtype"": ""str"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""criminal_justice_sensitive"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""criminal_justice_sensitive""], ""privacy_usages"": [""research"", ""criminal_justice_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_COMPASRaw::record::0::cell::race","DataCellArtifact","D0_COMPASRaw::record::0::cell::race","{""key"": ""D0_COMPASRaw::record::0::cell::race"", ""record_id"": ""0"", ""dataset_id"": ""D0_COMPASRaw"", ""attribute"": ""race"", ""value"": ""African-American"", ""dtype"": ""str"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""race_ethnicity"", ""protected_attribute"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""race_ethnicity"", ""protected_attribute""], ""privacy_usages"": [""research"", ""criminal_justice_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_COMPASRaw::record::0::cell::sex","DataCellArtifact","D0_COMPASRaw::record::0::cell::sex","{""key"": ""D0_COMPASRaw::record::0::cell::sex"", ""record_id"": ""0"", ""dataset_id"": ""D0_COMPASRaw"", ""attribute"": ""sex"", ""value"": ""Male"", ""dtype"": ""str"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""gender"", ""protected_attribute"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""gender"", ""protected_attribute""], ""privacy_usages"": [""research"", ""criminal_justice_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_COMPASRaw::record::0::cell::priors_count","DataCellArtifact","D0_COMPASRaw::record::0::cell::priors_count","{""key"": ""D0_COMPASRaw::record::0::cell::priors_count"", ""record_id"": ""0"", ""dataset_id"": ""D0_COMPASRaw"", ""attribute"": ""priors_count"", ""value"": 2, ""dtype"": ""int64"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""criminal_justice_sensitive"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""criminal_justice_sensitive""], ""privacy_usages"": [""research"", ""criminal_justice_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_COMPASRaw::record::0::cell::days_b_screening_arrest","DataCellArtifact","D0_COMPASRaw::record::0::cell::days_b_screening_arrest","{""key"": ""D0_COMPASRaw::record::0::cell::days_b_screening_arrest"", ""record_id"": ""0"", ""dataset_id"": ""D0_COMPASRaw"", ""attribute"": ""days_b_screening_arrest"", ""value"": -1.0, ""dtype"": ""float64"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""criminal_justice_sensitive"", ""temporal_quasi_identifier"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""criminal_justice_sensitive"", ""temporal_quasi_identifier""], ""privacy_usages"": [""research"", ""criminal_justice_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_COMPASRaw::record::0::cell::two_year_recid","DataCellArtifact","D0_COMPASRaw::record::0::cell::two_year_recid","{""key"": ""D0_COMPASRaw::record::0::cell::two_year_recid"", ""record_id"": ""0"", ""dataset_id"": ""D0_COMPASRaw"", ""attribute"": ""two_year_recid"", ""value"": 1, ""dtype"": ""int64"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""criminal_justice_sensitive"", ""behavioural_sensitive"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""criminal_justice_sensitive"", ""behavioural_sensitive""], ""privacy_usages"": [""research"", ""criminal_justice_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
