"START_ID","END_ID","TYPE","props_json"
"PipelineRun|run_fc7d525c22","Pipeline|compas_recidivism_pipeline","executes","{}"
"DatasetArtifact|D0_COMPASRaw","DataRecordArtifact|D0_COMPASRaw::record::0","containsDR","{}"
"DataRecordArtifact|D0_COMPASRaw::record::0","DataCellArtifact|D0_COMPASRaw::record::0::cell::age","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::0","DataCellArtifact|D0_COMPASRaw::record::0::cell::c_charge_degree","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::0","DataCellArtifact|D0_COMPASRaw::record::0::cell::race","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::0","DataCellArtifact|D0_COMPASRaw::record::0::cell::sex","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::0","DataCellArtifact|D0_COMPASRaw::record::0::cell::priors_count","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::0","DataCellArtifact|D0_COMPASRaw::record::0::cell::days_b_screening_arrest","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::0","DataCellArtifact|D0_COMPASRaw::record::0::cell::two_year_recid","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::0","DataCellArtifact|D0_COMPASRaw::record::0::cell::c_jail_in","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::0","DataCellArtifact|D0_COMPASRaw::record::0::cell::c_jail_out","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::0","DataCellArtifact|D0_COMPASRaw::record::0::cell::irrelevant_col","containsRC","{}"
"DatasetArtifact|D0_COMPASRaw","DataRecordArtifact|D0_COMPASRaw::record::1","containsDR","{}"
"DataRecordArtifact|D0_COMPASRaw::record::1","DataCellArtifact|D0_COMPASRaw::record::1::cell::age","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::1","DataCellArtifact|D0_COMPASRaw::record::1::cell::c_charge_degree","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::1","DataCellArtifact|D0_COMPASRaw::record::1::cell::race","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::1","DataCellArtifact|D0_COMPASRaw::record::1::cell::sex","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::1","DataCellArtifact|D0_COMPASRaw::record::1::cell::priors_count","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::1","DataCellArtifact|D0_COMPASRaw::record::1::cell::days_b_screening_arrest","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::1","DataCellArtifact|D0_COMPASRaw::record::1::cell::two_year_recid","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::1","DataCellArtifact|D0_COMPASRaw::record::1::cell::c_jail_in","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::1","DataCellArtifact|D0_COMPASRaw::record::1::cell::c_jail_out","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::1","DataCellArtifact|D0_COMPASRaw::record::1::cell::irrelevant_col","containsRC","{}"
"DatasetArtifact|D0_COMPASRaw","DataRecordArtifact|D0_COMPASRaw::record::2","containsDR","{}"
"DataRecordArtifact|D0_COMPASRaw::record::2","DataCellArtifact|D0_COMPASRaw::record::2::cell::age","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::2","DataCellArtifact|D0_COMPASRaw::record::2::cell::c_charge_degree","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::2","DataCellArtifact|D0_COMPASRaw::record::2::cell::race","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::2","DataCellArtifact|D0_COMPASRaw::record::2::cell::sex","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::2","DataCellArtifact|D0_COMPASRaw::record::2::cell::priors_count","containsRC","{}"
