"ID","LABEL","key","props_json"
"Pipeline|german_credit_pipeline","Pipeline","german_credit_pipeline","{""key"": ""german_credit_pipeline"", ""name"": ""german_credit_pipeline""}"
"PipelineRun|run_cbe9ff2508","PipelineRun","run_cbe9ff2508","{""key"": ""run_cbe9ff2508"", ""Pipeline_id"": ""german_credit_pipeline"", ""purpose"": ""credit_risk_research"", ""started_at"": 1780834889.1780498}"
"DatasetArtifact|D0_GermanRaw","DatasetArtifact","D0_GermanRaw","{""key"": ""D0_GermanRaw"", ""name"": ""D0_GermanRaw"", ""role"": ""raw_german_credit"", ""source"": ""manual_register"", ""n_rows"": 6, ""n_cols"": 21, ""columns"": [""checking"", ""duration"", ""credit_history"", ""purpose"", ""amount"", ""savings"", ""employment"", ""installment_rate"", ""personal_status"", ""other_debtors"", ""residence_since"", ""property"", ""age"", ""other_inst"", ""housing"", ""existing_credits"", ""job"", ""people_liable"", ""phone"", ""foreigner"", ""label""], ""record_id_col"": null, ""artifact_kind"": ""DatasetArtifact"", ""privacy_categories"": [], ""privacy_categories_explicit"": [], ""privacy_usages"": [""research"", ""credit_risk_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataRecordArtifact|D0_GermanRaw::record::0","DataRecordArtifact","D0_GermanRaw::record::0","{""key"": ""D0_GermanRaw::record::0"", ""record_id"": ""0"", ""dataset_id"": ""D0_GermanRaw"", ""artifact_kind"": ""DataRecordArtifact"", ""privacy_categories"": [], ""privacy_categories_explicit"": [], ""privacy_usages"": [""research"", ""credit_risk_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_GermanRaw::record::0::cell::checking","DataCellArtifact","D0_GermanRaw::record::0::cell::checking","{""key"": ""D0_GermanRaw::record::0::cell::checking"", ""record_id"": ""0"", ""dataset_id"": ""D0_GermanRaw"", ""attribute"": ""checking"", ""value"": ""A11"", ""dtype"": ""str"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""financial_sensitive"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""financial_sensitive""], ""privacy_usages"": [""research"", ""credit_risk_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_GermanRaw::record::0::cell::duration","DataCellArtifact","D0_GermanRaw::record::0::cell::duration","{""key"": ""D0_GermanRaw::record::0::cell::duration"", ""record_id"": ""0"", ""dataset_id"": ""D0_GermanRaw"", ""attribute"": ""duration"", ""value"": 6, ""dtype"": ""int64"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""financial_sensitive"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""financial_sensitive""], ""privacy_usages"": [""research"", ""credit_risk_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_GermanRaw::record::0::cell::credit_history","DataCellArtifact","D0_GermanRaw::record::0::cell::credit_history","{""key"": ""D0_GermanRaw::record::0::cell::credit_history"", ""record_id"": ""0"", ""dataset_id"": ""D0_GermanRaw"", ""attribute"": ""credit_history"", ""value"": ""A34"", ""dtype"": ""str"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""financial_sensitive"", ""credit_history_sensitive"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""financial_sensitive"", ""credit_history_sensitive""], ""privacy_usages"": [""research"", ""credit_risk_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_GermanRaw::record::0::cell::purpose","DataCellArtifact","D0_GermanRaw::record::0::cell::purpose","{""key"": ""D0_GermanRaw::record::0::cell::purpose"", ""record_id"": ""0"", ""dataset_id"": ""D0_GermanRaw"", ""attribute"": ""purpose"", ""value"": ""A43"", ""dtype"": ""str"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""financial_sensitive"", ""loan_purpose"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""financial_sensitive"", ""loan_purpose""], ""privacy_usages"": [""research"", ""credit_risk_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_GermanRaw::record::0::cell::amount","DataCellArtifact","D0_GermanRaw::record::0::cell::amount","{""key"": ""D0_GermanRaw::record::0::cell::amount"", ""record_id"": ""0"", ""dataset_id"": ""D0_GermanRaw"", ""attribute"": ""amount"", ""value"": 1169, ""dtype"": ""int64"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""financial_sensitive"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""financial_sensitive""], ""privacy_usages"": [""research"", ""credit_risk_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_GermanRaw::record::0::cell::savings","DataCellArtifact","D0_GermanRaw::record::0::cell::savings","{""key"": ""D0_GermanRaw::record::0::cell::savings"", ""record_id"": ""0"", ""dataset_id"": ""D0_GermanRaw"", ""attribute"": ""savings"", ""value"": ""A65"", ""dtype"": ""str"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""financial_sensitive"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""financial_sensitive""], ""privacy_usages"": [""research"", ""credit_risk_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_GermanRaw::record::0::cell::employment","DataCellArtifact","D0_GermanRaw::record::0::cell::employment","{""key"": ""D0_GermanRaw::record::0::cell::employment"", ""record_id"": ""0"", ""dataset_id"": ""D0_GermanRaw"", ""attribute"": ""employment"", ""value"": ""A75"", ""dtype"": ""str"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""employment_sensitive"", ""socio_economic"", ""personal_data""], ""privacy_categories_explicit"": [""employment_sensitive"", ""socio_economic""], ""privacy_usages"": [""research"", ""credit_risk_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
