"START_ID","END_ID","TYPE","props_json"
"PipelineRun|run_cbe9ff2508","Pipeline|german_credit_pipeline","executes","{}"
"DatasetArtifact|D0_GermanRaw","DataRecordArtifact|D0_GermanRaw::record::0","containsDR","{}"
"DataRecordArtifact|D0_GermanRaw::record::0","DataCellArtifact|D0_GermanRaw::record::0::cell::checking","containsRC","{}"
"DataRecordArtifact|D0_GermanRaw::record::0","DataCellArtifact|D0_GermanRaw::record::0::cell::duration","containsRC","{}"
"DataRecordArtifact|D0_GermanRaw::record::0","DataCellArtifact|D0_GermanRaw::record::0::cell::credit_history","containsRC","{}"
"DataRecordArtifact|D0_GermanRaw::record::0","DataCellArtifact|D0_GermanRaw::record::0::cell::purpose","containsRC","{}"
"DataRecordArtifact|D0_GermanRaw::record::0","DataCellArtifact|D0_GermanRaw::record::0::cell::amount","containsRC","{}"
"DataRecordArtifact|D0_GermanRaw::record::0","DataCellArtifact|D0_GermanRaw::record::0::cell::savings","containsRC","{}"
"DataRecordArtifact|D0_GermanRaw::record::0","DataCellArtifact|D0_GermanRaw::record::0::cell::employment","containsRC","{}"
"DataRecordArtifact|D0_GermanRaw::record::0","DataCellArtifact|D0_GermanRaw::record::0::cell::installment_rate","containsRC","{}"
"DataRecordArtifact|D0_GermanRaw::record::0","DataCellArtifact|D0_GermanRaw::record::0::cell::personal_status","containsRC","{}"
"DataRecordArtifact|D0_GermanRaw::record::0","DataCellArtifact|D0_GermanRaw::record::0::cell::other_debtors","containsRC","{}"
"DataRecordArtifact|D0_GermanRaw::record::0","DataCellArtifact|D0_GermanRaw::record::0::cell::residence_since","containsRC","{}"
"DataRecordArtifact|D0_GermanRaw::record::0","DataCellArtifact|D0_GermanRaw::record::0::cell::property","containsRC","{}"
"DataRecordArtifact|D0_GermanRaw::record::0","DataCellArtifact|D0_GermanRaw::record::0::cell::age","containsRC","{}"
"DataRecordArtifact|D0_GermanRaw::record::0","DataCellArtifact|D0_GermanRaw::record::0::cell::other_inst","containsRC","{}"
"DataRecordArtifact|D0_GermanRaw::record::0","DataCellArtifact|D0_GermanRaw::record::0::cell::housing","containsRC","{}"
"DataRecordArtifact|D0_GermanRaw::record::0","DataCellArtifact|D0_GermanRaw::record::0::cell::existing_credits","containsRC","{}"
"DataRecordArtifact|D0_GermanRaw::record::0","DataCellArtifact|D0_GermanRaw::record::0::cell::job","containsRC","{}"
"DataRecordArtifact|D0_GermanRaw::record::0","DataCellArtifact|D0_GermanRaw::record::0::cell::people_liable","containsRC","{}"
"DataRecordArtifact|D0_GermanRaw::record::0","DataCellArtifact|D0_GermanRaw::record::0::cell::phone","containsRC","{}"
"DataRecordArtifact|D0_GermanRaw::record::0","DataCellArtifact|D0_GermanRaw::record::0::cell::foreigner","containsRC","{}"
"DataRecordArtifact|D0_GermanRaw::record::0","DataCellArtifact|D0_GermanRaw::record::0::cell::label","containsRC","{}"
"DatasetArtifact|D0_GermanRaw","DataRecordArtifact|D0_GermanRaw::record::1","containsDR","{}"
"DataRecordArtifact|D0_GermanRaw::record::1","DataCellArtifact|D0_GermanRaw::record::1::cell::checking","containsRC","{}"
"DataRecordArtifact|D0_GermanRaw::record::1","DataCellArtifact|D0_GermanRaw::record::1::cell::duration","containsRC","{}"
"DataRecordArtifact|D0_GermanRaw::record::1","DataCellArtifact|D0_GermanRaw::record::1::cell::credit_history","containsRC","{}"
"DataRecordArtifact|D0_GermanRaw::record::1","DataCellArtifact|D0_GermanRaw::record::1::cell::purpose","containsRC","{}"
"DataRecordArtifact|D0_GermanRaw::record::1","DataCellArtifact|D0_GermanRaw::record::1::cell::amount","containsRC","{}"
"DataRecordArtifact|D0_GermanRaw::record::1","DataCellArtifact|D0_GermanRaw::record::1::cell::savings","containsRC","{}"
"DataRecordArtifact|D0_GermanRaw::record::1","DataCellArtifact|D0_GermanRaw::record::1::cell::employment","containsRC","{}"
"DataRecordArtifact|D0_GermanRaw::record::1","DataCellArtifact|D0_GermanRaw::record::1::cell::installment_rate","containsRC","{}"
"DataRecordArtifact|D0_GermanRaw::record::1","DataCellArtifact|D0_GermanRaw::record::1::cell::personal_status","containsRC","{}"
"DataRecordArtifact|D0_GermanRaw::record::1","DataCellArtifact|D0_GermanRaw::record::1::cell::other_debtors","containsRC","{}"
"DataRecordArtifact|D0_GermanRaw::record::1","DataCellArtifact|D0_GermanRaw::record::1::cell::residence_since","containsRC","{}"
"DataRecordArtifact|D0_GermanRaw::record::1","DataCellArtifact|D0_GermanRaw::record::1::cell::property","containsRC","{}"
"DataRecordArtifact|D0_GermanRaw::record::1","DataCellArtifact|D0_GermanRaw::record::1::cell::age","containsRC","{}"
"DataRecordArtifact|D0_GermanRaw::record::1","DataCellArtifact|D0_GermanRaw::record::1::cell::other_inst","containsRC","{}"
"DataRecordArtifact|D0_GermanRaw::record::1","DataCellArtifact|D0_GermanRaw::record::1::cell::housing","containsRC","{}"
"DataRecordArtifact|D0_GermanRaw::record::1","DataCellArtifact|D0_GermanRaw::record::1::cell::existing_credits","containsRC","{}"
"DataRecordArtifact|D0_GermanRaw::record::1","DataCellArtifact|D0_GermanRaw::record::1::cell::job","containsRC","{}"
"DataRecordArtifact|D0_GermanRaw::record::1","DataCellArtifact|D0_GermanRaw::record::1::cell::people_liable","containsRC","{}"
"DataRecordArtifact|D0_GermanRaw::record::1","DataCellArtifact|D0_GermanRaw::record::1::cell::phone","containsRC","{}"
"DataRecordArtifact|D0_GermanRaw::record::1","DataCellArtifact|D0_GermanRaw::record::1::cell::foreigner","containsRC","{}"
"DataRecordArtifact|D0_GermanRaw::record::1","DataCellArtifact|D0_GermanRaw::record::1::cell::label","containsRC","{}"
"DatasetArtifact|D0_GermanRaw","DataRecordArtifact|D0_GermanRaw::record::2","containsDR","{}"
"DataRecordArtifact|D0_GermanRaw::record::2","DataCellArtifact|D0_GermanRaw::record::2::cell::checking","containsRC","{}"
"DataRecordArtifact|D0_GermanRaw::record::2","DataCellArtifact|D0_GermanRaw::record::2::cell::duration","containsRC","{}"
"DataRecordArtifact|D0_GermanRaw::record::2","DataCellArtifact|D0_GermanRaw::record::2::cell::credit_history","containsRC","{}"
"DataRecordArtifact|D0_GermanRaw::record::2","DataCellArtifact|D0_GermanRaw::record::2::cell::purpose","containsRC","{}"
"DataRecordArtifact|D0_GermanRaw::record::2","DataCellArtifact|D0_GermanRaw::record::2::cell::amount","containsRC","{}"
