"id","label","pipeline","name","type","privacy_categories","privacy_usages","privacy_erasures","privacy_roles","props_b64"
"ASD_privacy_walkthrough","Pipeline","asd","ASD_privacy_walkthrough","Pipeline","","","","","eyJuYW1lIjogIkFTRF9wcml2YWN5X3dhbGt0aHJvdWdoIn0="
"asd_run_001","PipelineRun","asd","asd_run_001","PipelineRun","","","","","eyJQaXBlbGluZV9pZCI6ICJBU0RfcHJpdmFjeV93YWxrdGhyb3VnaCIsICJwdXJwb3NlIjogImNsaW5pY2FsX3Jlc2VhcmNoIiwgInN0YXJ0ZWRfYXQiOiAxNzc5Njg4MDQyLjI4NTM0Mjd9"
"D6_EnrichedEpisodeData","DatasetArtifact","asd","D6_EnrichedEpisodeData","DatasetArtifact","direct_identifier|temporal_quasi_identifier|quasi_identifier|biometric|health|behavioural_sensor_data|behavioural_sensitive|organisational_context|reidentification_risk|identifier|sensitive_personal_data","clinical_research","delete_on_request|retention_5y","CL|DPO","eyJhcnRpZmFjdF9raW5kIjogIkRhdGFzZXRBcnRpZmFjdCIsICJjb2x1bW5zIjogWyJJZCIsICJ3aW5kb3dfc3RhcnQiLCAiSFJfcmVzIiwgIkVEQV9yZXMiLCAiQUNDX3JlcyIsICJjaGFsbF9iZWhhdiIsICJzZXYiLCAiYWdlX2dycCIsICJzZXgiLCAiY2xpbmljX3NpdGUiLCAiZGlhZyJdLCAibl9jb2xzIjogMTEsICJuX3Jvd3MiOiA0LCAibmFtZSI6ICJENl9FbnJpY2hlZEVwaXNvZGVEYXRhIiwgInByaXZhY3lfYW5ub3RhdGlvbl9zb3VyY2VzIjogWyJtYW51YWwiXSwgInByaXZhY3lfY2F0ZWdvcmllcyI6IFsiZGlyZWN0X2lkZW50aWZpZXIiLCAidGVtcG9yYWxfcXVhc2lfaWRlbnRpZmllciIsICJxdWFzaV9pZGVudGlmaWVyIiwgImJpb21ldHJpYyIsICJoZWFsdGgiLCAiYmVoYXZpb3VyYWxfc2Vuc29yX2RhdGEiLCAiYmVoYXZpb3VyYWxfc2Vuc2l0aXZlIiwgIm9yZ2FuaXNhdGlvbmFsX2NvbnRleHQiLCAicmVpZGVudGlmaWNhdGlvbl9yaXNrIiwgImlkZW50aWZpZXIiLCAic2Vuc2l0aXZlX3BlcnNvbmFsX2RhdGEiXSwgInByaXZhY3lfY2F0ZWdvcmllc19leHBsaWNpdCI6IFsiZGlyZWN0X2lkZW50aWZpZXIiLCAidGVtcG9yYWxfcXVhc2lfaWRlbnRpZmllciIsICJxdWFzaV9pZGVudGlmaWVyIiwgImJpb21ldHJpYyIsICJoZWFsdGgiLCAiYmVoYXZpb3VyYWxfc2Vuc29yX2RhdGEiLCAiYmVoYXZpb3VyYWxfc2Vuc2l0aXZlIiwgIm9yZ2FuaXNhdGlvbmFsX2NvbnRleHQiLCAicmVpZGVudGlmaWNhdGlvbl9yaXNrIl0sICJwcml2YWN5X2VyYXN1cmVzIjogWyJkZWxldGVfb25fcmVxdWVzdCIsICJyZXRlbnRpb25fNXkiXSwgInByaXZhY3lfcm9sZXMiOiBbIkNMIiwgIkRQTyJdLCAicHJpdmFjeV91c2FnZXMiOiBbImNsaW5pY2FsX3Jlc2VhcmNoIl0sICJyZWNvcmRfaWRfY29sIjogbnVsbCwgInJvbGUiOiAiZW5yaWNoZWQiLCAic291cmNlIjogIm1hbnVhbF9yZWdpc3RlciJ9"
"D6_EnrichedEpisodeData::record::0","DataRecordArtifact","asd","D6_EnrichedEpisodeData::record::0","DataRecordArtifact","","clinical_research","delete_on_request|retention_5y","CL|DPO","eyJhcnRpZmFjdF9raW5kIjogIkRhdGFSZWNvcmRBcnRpZmFjdCIsICJkYXRhc2V0X2lkIjogIkQ2X0VucmljaGVkRXBpc29kZURhdGEiLCAicHJpdmFjeV9hbm5vdGF0aW9uX3NvdXJjZXMiOiBbIm1hbnVhbCJdLCAicHJpdmFjeV9jYXRlZ29yaWVzIjogW10sICJwcml2YWN5X2NhdGVnb3JpZXNfZXhwbGljaXQiOiBbXSwgInByaXZhY3lfZXJhc3VyZXMiOiBbImRlbGV0ZV9vbl9yZXF1ZXN0IiwgInJldGVudGlvbl81eSJdLCAicHJpdmFjeV9yb2xlcyI6IFsiQ0wiLCAiRFBPIl0sICJwcml2YWN5X3VzYWdlcyI6IFsiY2xpbmljYWxfcmVzZWFyY2giXSwgInJlY29yZF9pZCI6ICIwIn0="
"D6_EnrichedEpisodeData::record::0::cell::Id","DataCellArtifact","asd","D6_EnrichedEpisodeData::record::0::cell::Id","DataCellArtifact","direct_identifier|identifier","clinical_research","delete_on_request|retention_5y","CL|DPO","eyJhcnRpZmFjdF9raW5kIjogIkRhdGFDZWxsQXJ0aWZhY3QiLCAiYXR0cmlidXRlIjogIklkIiwgImRhdGFzZXRfaWQiOiAiRDZfRW5yaWNoZWRFcGlzb2RlRGF0YSIsICJkdHlwZSI6ICJzdHIiLCAicHJpdmFjeV9hbm5vdGF0aW9uX3NvdXJjZXMiOiBbIm1hbnVhbCJdLCAicHJpdmFjeV9jYXRlZ29yaWVzIjogWyJkaXJlY3RfaWRlbnRpZmllciIsICJpZGVudGlmaWVyIl0sICJwcml2YWN5X2NhdGVnb3JpZXNfZXhwbGljaXQiOiBbImRpcmVjdF9pZGVudGlmaWVyIl0sICJwcml2YWN5X2VyYXN1cmVzIjogWyJkZWxldGVfb25fcmVxdWVzdCIsICJyZXRlbnRpb25fNXkiXSwgInByaXZhY3lfcm9sZXMiOiBbIkNMIiwgIkRQTyJdLCAicHJpdmFjeV91c2FnZXMiOiBbImNsaW5pY2FsX3Jlc2VhcmNoIl0sICJyZWNvcmRfaWQiOiAiMCIsICJ2YWx1ZSI6ICJDMDAxIn0="
"D6_EnrichedEpisodeData::record::0::cell::window_start","DataCellArtifact","asd","D6_EnrichedEpisodeData::record::0::cell::window_start","DataCellArtifact","temporal_quasi_identifier|quasi_identifier","clinical_research","delete_on_request|retention_5y","DS|CL|AU|DPO","eyJhcnRpZmFjdF9raW5kIjogIkRhdGFDZWxsQXJ0aWZhY3QiLCAiYXR0cmlidXRlIjogIndpbmRvd19zdGFydCIsICJkYXRhc2V0X2lkIjogIkQ2X0VucmljaGVkRXBpc29kZURhdGEiLCAiZHR5cGUiOiAic3RyIiwgInByaXZhY3lfYW5ub3RhdGlvbl9zb3VyY2VzIjogWyJtYW51YWwiXSwgInByaXZhY3lfY2F0ZWdvcmllcyI6IFsidGVtcG9yYWxfcXVhc2lfaWRlbnRpZmllciIsICJxdWFzaV9pZGVudGlmaWVyIl0sICJwcml2YWN5X2NhdGVnb3JpZXNfZXhwbGljaXQiOiBbInRlbXBvcmFsX3F1YXNpX2lkZW50aWZpZXIiXSwgInByaXZhY3lfZXJhc3VyZXMiOiBbImRlbGV0ZV9vbl9yZXF1ZXN0IiwgInJldGVudGlvbl81eSJdLCAicHJpdmFjeV9yb2xlcyI6IFsiRFMiLCAiQ0wiLCAiQVUiLCAiRFBPIl0sICJwcml2YWN5X3VzYWdlcyI6IFsiY2xpbmljYWxfcmVzZWFyY2giXSwgInJlY29yZF9pZCI6ICIwIiwgInZhbHVlIjogIjA5OjAwOjAwIn0="
"D6_EnrichedEpisodeData::record::0::cell::HR_res","DataCellArtifact","asd","D6_EnrichedEpisodeData::record::0::cell::HR_res","DataCellArtifact","biometric|health|sensitive_personal_data","clinical_research","delete_on_request|retention_5y","DS|CL|AU|DPO","eyJhcnRpZmFjdF9raW5kIjogIkRhdGFDZWxsQXJ0aWZhY3QiLCAiYXR0cmlidXRlIjogIkhSX3JlcyIsICJkYXRhc2V0X2lkIjogIkQ2X0VucmljaGVkRXBpc29kZURhdGEiLCAiZHR5cGUiOiAiZmxvYXQ2NCIsICJwcml2YWN5X2Fubm90YXRpb25fc291cmNlcyI6IFsibWFudWFsIl0sICJwcml2YWN5X2NhdGVnb3JpZXMiOiBbImJpb21ldHJpYyIsICJoZWFsdGgiLCAic2Vuc2l0aXZlX3BlcnNvbmFsX2RhdGEiXSwgInByaXZhY3lfY2F0ZWdvcmllc19leHBsaWNpdCI6IFsiYmlvbWV0cmljIiwgImhlYWx0aCJdLCAicHJpdmFjeV9lcmFzdXJlcyI6IFsiZGVsZXRlX29uX3JlcXVlc3QiLCAicmV0ZW50aW9uXzV5Il0sICJwcml2YWN5X3JvbGVzIjogWyJEUyIsICJDTCIsICJBVSIsICJEUE8iXSwgInByaXZhY3lfdXNhZ2VzIjogWyJjbGluaWNhbF9yZXNlYXJjaCJdLCAicmVjb3JkX2lkIjogIjAiLCAidmFsdWUiOiAxMTkuNn0="
"D6_EnrichedEpisodeData::record::0::cell::EDA_res","DataCellArtifact","asd","D6_EnrichedEpisodeData::record::0::cell::EDA_res","DataCellArtifact","biometric|health|sensitive_personal_data","clinical_research","delete_on_request|retention_5y","DS|CL|AU|DPO","eyJhcnRpZmFjdF9raW5kIjogIkRhdGFDZWxsQXJ0aWZhY3QiLCAiYXR0cmlidXRlIjogIkVEQV9yZXMiLCAiZGF0YXNldF9pZCI6ICJENl9FbnJpY2hlZEVwaXNvZGVEYXRhIiwgImR0eXBlIjogImZsb2F0NjQiLCAicHJpdmFjeV9hbm5vdGF0aW9uX3NvdXJjZXMiOiBbIm1hbnVhbCJdLCAicHJpdmFjeV9jYXRlZ29yaWVzIjogWyJiaW9tZXRyaWMiLCAiaGVhbHRoIiwgInNlbnNpdGl2ZV9wZXJzb25hbF9kYXRhIl0sICJwcml2YWN5X2NhdGVnb3JpZXNfZXhwbGljaXQiOiBbImJpb21ldHJpYyIsICJoZWFsdGgiXSwgInByaXZhY3lfZXJhc3VyZXMiOiBbImRlbGV0ZV9vbl9yZXF1ZXN0IiwgInJldGVudGlvbl81eSJdLCAicHJpdmFjeV9yb2xlcyI6IFsiRFMiLCAiQ0wiLCAiQVUiLCAiRFBPIl0sICJwcml2YWN5X3VzYWdlcyI6IFsiY2xpbmljYWxfcmVzZWFyY2giXSwgInJlY29yZF9pZCI6ICIwIiwgInZhbHVlIjogMy44fQ=="
"D6_EnrichedEpisodeData::record::0::cell::ACC_res","DataCellArtifact","asd","D6_EnrichedEpisodeData::record::0::cell::ACC_res","DataCellArtifact","behavioural_sensor_data","clinical_research","delete_on_request|retention_5y","DS|CL|AU|DPO","eyJhcnRpZmFjdF9raW5kIjogIkRhdGFDZWxsQXJ0aWZhY3QiLCAiYXR0cmlidXRlIjogIkFDQ19yZXMiLCAiZGF0YXNldF9pZCI6ICJENl9FbnJpY2hlZEVwaXNvZGVEYXRhIiwgImR0eXBlIjogImZsb2F0NjQiLCAicHJpdmFjeV9hbm5vdGF0aW9uX3NvdXJjZXMiOiBbIm1hbnVhbCJdLCAicHJpdmFjeV9jYXRlZ29yaWVzIjogWyJiZWhhdmlvdXJhbF9zZW5zb3JfZGF0YSJdLCAicHJpdmFjeV9jYXRlZ29yaWVzX2V4cGxpY2l0IjogWyJiZWhhdmlvdXJhbF9zZW5zb3JfZGF0YSJdLCAicHJpdmFjeV9lcmFzdXJlcyI6IFsiZGVsZXRlX29uX3JlcXVlc3QiLCAicmV0ZW50aW9uXzV5Il0sICJwcml2YWN5X3JvbGVzIjogWyJEUyIsICJDTCIsICJBVSIsICJEUE8iXSwgInByaXZhY3lfdXNhZ2VzIjogWyJjbGluaWNhbF9yZXNlYXJjaCJdLCAicmVjb3JkX2lkIjogIjAiLCAidmFsdWUiOiAwLjUyfQ=="
"D6_EnrichedEpisodeData::record::0::cell::chall_behav","DataCellArtifact","asd","D6_EnrichedEpisodeData::record::0::cell::chall_behav","DataCellArtifact","health|behavioural_sensitive|sensitive_personal_data","clinical_research","delete_on_request|retention_5y","DS|CL|AU|DPO","eyJhcnRpZmFjdF9raW5kIjogIkRhdGFDZWxsQXJ0aWZhY3QiLCAiYXR0cmlidXRlIjogImNoYWxsX2JlaGF2IiwgImRhdGFzZXRfaWQiOiAiRDZfRW5yaWNoZWRFcGlzb2RlRGF0YSIsICJkdHlwZSI6ICJzdHIiLCAicHJpdmFjeV9hbm5vdGF0aW9uX3NvdXJjZXMiOiBbIm1hbnVhbCJdLCAicHJpdmFjeV9jYXRlZ29yaWVzIjogWyJoZWFsdGgiLCAiYmVoYXZpb3VyYWxfc2Vuc2l0aXZlIiwgInNlbnNpdGl2ZV9wZXJzb25hbF9kYXRhIl0sICJwcml2YWN5X2NhdGVnb3JpZXNfZXhwbGljaXQiOiBbImhlYWx0aCIsICJiZWhhdmlvdXJhbF9zZW5zaXRpdmUiXSwgInByaXZhY3lfZXJhc3VyZXMiOiBbImRlbGV0ZV9vbl9yZXF1ZXN0IiwgInJldGVudGlvbl81eSJdLCAicHJpdmFjeV9yb2xlcyI6IFsiRFMiLCAiQ0wiLCAiQVUiLCAiRFBPIl0sICJwcml2YWN5X3VzYWdlcyI6IFsiY2xpbmljYWxfcmVzZWFyY2giXSwgInJlY29yZF9pZCI6ICIwIiwgInZhbHVlIjogInllcyJ9"
