"source","target","type","pipeline","props_b64"
"asd_run_001","ASD_privacy_walkthrough","executes","asd","eyJlbmRfbGFiZWwiOiAiUGlwZWxpbmUiLCAic3RhcnRfbGFiZWwiOiAiUGlwZWxpbmVSdW4ifQ=="
"D6_EnrichedEpisodeData","D6_EnrichedEpisodeData::record::0","containsDR","asd","eyJlbmRfbGFiZWwiOiAiRGF0YVJlY29yZEFydGlmYWN0IiwgInN0YXJ0X2xhYmVsIjogIkRhdGFzZXRBcnRpZmFjdCJ9"
"D6_EnrichedEpisodeData::record::0","D6_EnrichedEpisodeData::record::0::cell::Id","containsRC","asd","eyJlbmRfbGFiZWwiOiAiRGF0YUNlbGxBcnRpZmFjdCIsICJzdGFydF9sYWJlbCI6ICJEYXRhUmVjb3JkQXJ0aWZhY3QifQ=="
"D6_EnrichedEpisodeData::record::0","D6_EnrichedEpisodeData::record::0::cell::window_start","containsRC","asd","eyJlbmRfbGFiZWwiOiAiRGF0YUNlbGxBcnRpZmFjdCIsICJzdGFydF9sYWJlbCI6ICJEYXRhUmVjb3JkQXJ0aWZhY3QifQ=="
"D6_EnrichedEpisodeData::record::0","D6_EnrichedEpisodeData::record::0::cell::HR_res","containsRC","asd","eyJlbmRfbGFiZWwiOiAiRGF0YUNlbGxBcnRpZmFjdCIsICJzdGFydF9sYWJlbCI6ICJEYXRhUmVjb3JkQXJ0aWZhY3QifQ=="
"D6_EnrichedEpisodeData::record::0","D6_EnrichedEpisodeData::record::0::cell::EDA_res","containsRC","asd","eyJlbmRfbGFiZWwiOiAiRGF0YUNlbGxBcnRpZmFjdCIsICJzdGFydF9sYWJlbCI6ICJEYXRhUmVjb3JkQXJ0aWZhY3QifQ=="
"D6_EnrichedEpisodeData::record::0","D6_EnrichedEpisodeData::record::0::cell::ACC_res","containsRC","asd","eyJlbmRfbGFiZWwiOiAiRGF0YUNlbGxBcnRpZmFjdCIsICJzdGFydF9sYWJlbCI6ICJEYXRhUmVjb3JkQXJ0aWZhY3QifQ=="
"D6_EnrichedEpisodeData::record::0","D6_EnrichedEpisodeData::record::0::cell::chall_behav","containsRC","asd","eyJlbmRfbGFiZWwiOiAiRGF0YUNlbGxBcnRpZmFjdCIsICJzdGFydF9sYWJlbCI6ICJEYXRhUmVjb3JkQXJ0aWZhY3QifQ=="
"D6_EnrichedEpisodeData::record::0","D6_EnrichedEpisodeData::record::0::cell::sev","containsRC","asd","eyJlbmRfbGFiZWwiOiAiRGF0YUNlbGxBcnRpZmFjdCIsICJzdGFydF9sYWJlbCI6ICJEYXRhUmVjb3JkQXJ0aWZhY3QifQ=="
"D6_EnrichedEpisodeData::record::0","D6_EnrichedEpisodeData::record::0::cell::age_grp","containsRC","asd","eyJlbmRfbGFiZWwiOiAiRGF0YUNlbGxBcnRpZmFjdCIsICJzdGFydF9sYWJlbCI6ICJEYXRhUmVjb3JkQXJ0aWZhY3QifQ=="
