"id","label","pipeline","name","type","privacy_categories","privacy_usages","privacy_erasures","privacy_roles","props_b64"
"census_income_pipeline","Pipeline","census","census_income_pipeline","Pipeline","","","","","eyJuYW1lIjogImNlbnN1c19pbmNvbWVfcGlwZWxpbmUifQ=="
"run_27a733b5ab","PipelineRun","census","run_27a733b5ab","PipelineRun","","","","","eyJQaXBlbGluZV9pZCI6ICJjZW5zdXNfaW5jb21lX3BpcGVsaW5lIiwgInB1cnBvc2UiOiAiaW5jb21lX21vZGVsX2RldmVsb3BtZW50IiwgInN0YXJ0ZWRfYXQiOiAxNzgwODMzNDUyLjEyMDA3MjZ9"
"D0_CensusRaw","DatasetArtifact","census","D0_CensusRaw","DatasetArtifact","","research|income_model_development","delete_on_request|retention_5y","DS|AU|DPO","eyJhcnRpZmFjdF9raW5kIjogIkRhdGFzZXRBcnRpZmFjdCIsICJjb2x1bW5zIjogWyJhZ2UiLCAid29ya2NsYXNzIiwgImZubHdndCIsICJlZHVjYXRpb24iLCAiZWR1Y2F0aW9uLW51bSIsICJtYXJpdGFsLXN0YXR1cyIsICJvY2N1cGF0aW9uIiwgInJlbGF0aW9uc2hpcCIsICJyYWNlIiwgInNleCIsICJjYXBpdGFsLWdhaW4iLCAiY2FwaXRhbC1sb3NzIiwgImhvdXJzLXBlci13ZWVrIiwgIm5hdGl2ZS1jb3VudHJ5IiwgImxhYmVsIl0sICJuX2NvbHMiOiAxNSwgIm5fcm93cyI6IDYsICJuYW1lIjogIkQwX0NlbnN1c1JhdyIsICJwcml2YWN5X2Fubm90YXRpb25fc291cmNlcyI6IFsibWFudWFsIl0sICJwcml2YWN5X2NhdGVnb3JpZXMiOiBbXSwgInByaXZhY3lfY2F0ZWdvcmllc19leHBsaWNpdCI6IFtdLCAicHJpdmFjeV9lcmFzdXJlcyI6IFsiZGVsZXRlX29uX3JlcXVlc3QiLCAicmV0ZW50aW9uXzV5Il0sICJwcml2YWN5X3JvbGVzIjogWyJEUyIsICJBVSIsICJEUE8iXSwgInByaXZhY3lfdXNhZ2VzIjogWyJyZXNlYXJjaCIsICJpbmNvbWVfbW9kZWxfZGV2ZWxvcG1lbnQiXSwgInJlY29yZF9pZF9jb2wiOiBudWxsLCAicm9sZSI6ICJyYXdfY2Vuc3VzIiwgInNvdXJjZSI6ICJtYW51YWxfcmVnaXN0ZXIifQ=="
"D0_CensusRaw::record::0","DataRecordArtifact","census","D0_CensusRaw::record::0","DataRecordArtifact","","research|income_model_development","delete_on_request|retention_5y","DS|AU|DPO","eyJhcnRpZmFjdF9raW5kIjogIkRhdGFSZWNvcmRBcnRpZmFjdCIsICJkYXRhc2V0X2lkIjogIkQwX0NlbnN1c1JhdyIsICJwcml2YWN5X2Fubm90YXRpb25fc291cmNlcyI6IFsibWFudWFsIl0sICJwcml2YWN5X2NhdGVnb3JpZXMiOiBbXSwgInByaXZhY3lfY2F0ZWdvcmllc19leHBsaWNpdCI6IFtdLCAicHJpdmFjeV9lcmFzdXJlcyI6IFsiZGVsZXRlX29uX3JlcXVlc3QiLCAicmV0ZW50aW9uXzV5Il0sICJwcml2YWN5X3JvbGVzIjogWyJEUyIsICJBVSIsICJEUE8iXSwgInByaXZhY3lfdXNhZ2VzIjogWyJyZXNlYXJjaCIsICJpbmNvbWVfbW9kZWxfZGV2ZWxvcG1lbnQiXSwgInJlY29yZF9pZCI6ICIwIn0="
"D0_CensusRaw::record::0::cell::age","DataCellArtifact","census","D0_CensusRaw::record::0::cell::age","DataCellArtifact","quasi_identifier|personal_data","research|income_model_development","delete_on_request|retention_5y","DS|AU|DPO","eyJhcnRpZmFjdF9raW5kIjogIkRhdGFDZWxsQXJ0aWZhY3QiLCAiYXR0cmlidXRlIjogImFnZSIsICJkYXRhc2V0X2lkIjogIkQwX0NlbnN1c1JhdyIsICJkdHlwZSI6ICJpbnQ2NCIsICJwcml2YWN5X2Fubm90YXRpb25fc291cmNlcyI6IFsibWFudWFsIl0sICJwcml2YWN5X2NhdGVnb3JpZXMiOiBbInF1YXNpX2lkZW50aWZpZXIiLCAicGVyc29uYWxfZGF0YSJdLCAicHJpdmFjeV9jYXRlZ29yaWVzX2V4cGxpY2l0IjogWyJxdWFzaV9pZGVudGlmaWVyIl0sICJwcml2YWN5X2VyYXN1cmVzIjogWyJkZWxldGVfb25fcmVxdWVzdCIsICJyZXRlbnRpb25fNXkiXSwgInByaXZhY3lfcm9sZXMiOiBbIkRTIiwgIkFVIiwgIkRQTyJdLCAicHJpdmFjeV91c2FnZXMiOiBbInJlc2VhcmNoIiwgImluY29tZV9tb2RlbF9kZXZlbG9wbWVudCJdLCAicmVjb3JkX2lkIjogIjAiLCAidmFsdWUiOiAzOX0="
"D0_CensusRaw::record::0::cell::workclass","DataCellArtifact","census","D0_CensusRaw::record::0::cell::workclass","DataCellArtifact","employment_sensitive|socio_economic|personal_data","research|income_model_development","delete_on_request|retention_5y","DS|AU|DPO","eyJhcnRpZmFjdF9raW5kIjogIkRhdGFDZWxsQXJ0aWZhY3QiLCAiYXR0cmlidXRlIjogIndvcmtjbGFzcyIsICJkYXRhc2V0X2lkIjogIkQwX0NlbnN1c1JhdyIsICJkdHlwZSI6ICJzdHIiLCAicHJpdmFjeV9hbm5vdGF0aW9uX3NvdXJjZXMiOiBbIm1hbnVhbCJdLCAicHJpdmFjeV9jYXRlZ29yaWVzIjogWyJlbXBsb3ltZW50X3NlbnNpdGl2ZSIsICJzb2Npb19lY29ub21pYyIsICJwZXJzb25hbF9kYXRhIl0sICJwcml2YWN5X2NhdGVnb3JpZXNfZXhwbGljaXQiOiBbImVtcGxveW1lbnRfc2Vuc2l0aXZlIiwgInNvY2lvX2Vjb25vbWljIl0sICJwcml2YWN5X2VyYXN1cmVzIjogWyJkZWxldGVfb25fcmVxdWVzdCIsICJyZXRlbnRpb25fNXkiXSwgInByaXZhY3lfcm9sZXMiOiBbIkRTIiwgIkFVIiwgIkRQTyJdLCAicHJpdmFjeV91c2FnZXMiOiBbInJlc2VhcmNoIiwgImluY29tZV9tb2RlbF9kZXZlbG9wbWVudCJdLCAicmVjb3JkX2lkIjogIjAiLCAidmFsdWUiOiAiIFN0YXRlLWdvdiAifQ=="
"D0_CensusRaw::record::0::cell::fnlwgt","DataCellArtifact","census","D0_CensusRaw::record::0::cell::fnlwgt","DataCellArtifact","technical_weight","research|income_model_development","delete_on_request|retention_5y","DS|AU|DPO","eyJhcnRpZmFjdF9raW5kIjogIkRhdGFDZWxsQXJ0aWZhY3QiLCAiYXR0cmlidXRlIjogImZubHdndCIsICJkYXRhc2V0X2lkIjogIkQwX0NlbnN1c1JhdyIsICJkdHlwZSI6ICJpbnQ2NCIsICJwcml2YWN5X2Fubm90YXRpb25fc291cmNlcyI6IFsibWFudWFsIl0sICJwcml2YWN5X2NhdGVnb3JpZXMiOiBbInRlY2huaWNhbF93ZWlnaHQiXSwgInByaXZhY3lfY2F0ZWdvcmllc19leHBsaWNpdCI6IFsidGVjaG5pY2FsX3dlaWdodCJdLCAicHJpdmFjeV9lcmFzdXJlcyI6IFsiZGVsZXRlX29uX3JlcXVlc3QiLCAicmV0ZW50aW9uXzV5Il0sICJwcml2YWN5X3JvbGVzIjogWyJEUyIsICJBVSIsICJEUE8iXSwgInByaXZhY3lfdXNhZ2VzIjogWyJyZXNlYXJjaCIsICJpbmNvbWVfbW9kZWxfZGV2ZWxvcG1lbnQiXSwgInJlY29yZF9pZCI6ICIwIiwgInZhbHVlIjogNzc1MTZ9"
"D0_CensusRaw::record::0::cell::education","DataCellArtifact","census","D0_CensusRaw::record::0::cell::education","DataCellArtifact","education_sensitive|socio_economic|personal_data","research|income_model_development","delete_on_request|retention_5y","DS|AU|DPO","eyJhcnRpZmFjdF9raW5kIjogIkRhdGFDZWxsQXJ0aWZhY3QiLCAiYXR0cmlidXRlIjogImVkdWNhdGlvbiIsICJkYXRhc2V0X2lkIjogIkQwX0NlbnN1c1JhdyIsICJkdHlwZSI6ICJzdHIiLCAicHJpdmFjeV9hbm5vdGF0aW9uX3NvdXJjZXMiOiBbIm1hbnVhbCJdLCAicHJpdmFjeV9jYXRlZ29yaWVzIjogWyJlZHVjYXRpb25fc2Vuc2l0aXZlIiwgInNvY2lvX2Vjb25vbWljIiwgInBlcnNvbmFsX2RhdGEiXSwgInByaXZhY3lfY2F0ZWdvcmllc19leHBsaWNpdCI6IFsiZWR1Y2F0aW9uX3NlbnNpdGl2ZSIsICJzb2Npb19lY29ub21pYyJdLCAicHJpdmFjeV9lcmFzdXJlcyI6IFsiZGVsZXRlX29uX3JlcXVlc3QiLCAicmV0ZW50aW9uXzV5Il0sICJwcml2YWN5X3JvbGVzIjogWyJEUyIsICJBVSIsICJEUE8iXSwgInByaXZhY3lfdXNhZ2VzIjogWyJyZXNlYXJjaCIsICJpbmNvbWVfbW9kZWxfZGV2ZWxvcG1lbnQiXSwgInJlY29yZF9pZCI6ICIwIiwgInZhbHVlIjogIiBCYWNoZWxvcnMgIn0="
"D0_CensusRaw::record::0::cell::education-num","DataCellArtifact","census","D0_CensusRaw::record::0::cell::education-num","DataCellArtifact","education_sensitive|socio_economic|personal_data","research|income_model_development","delete_on_request|retention_5y","DS|AU|DPO","eyJhcnRpZmFjdF9raW5kIjogIkRhdGFDZWxsQXJ0aWZhY3QiLCAiYXR0cmlidXRlIjogImVkdWNhdGlvbi1udW0iLCAiZGF0YXNldF9pZCI6ICJEMF9DZW5zdXNSYXciLCAiZHR5cGUiOiAiaW50NjQiLCAicHJpdmFjeV9hbm5vdGF0aW9uX3NvdXJjZXMiOiBbIm1hbnVhbCJdLCAicHJpdmFjeV9jYXRlZ29yaWVzIjogWyJlZHVjYXRpb25fc2Vuc2l0aXZlIiwgInNvY2lvX2Vjb25vbWljIiwgInBlcnNvbmFsX2RhdGEiXSwgInByaXZhY3lfY2F0ZWdvcmllc19leHBsaWNpdCI6IFsiZWR1Y2F0aW9uX3NlbnNpdGl2ZSIsICJzb2Npb19lY29ub21pYyJdLCAicHJpdmFjeV9lcmFzdXJlcyI6IFsiZGVsZXRlX29uX3JlcXVlc3QiLCAicmV0ZW50aW9uXzV5Il0sICJwcml2YWN5X3JvbGVzIjogWyJEUyIsICJBVSIsICJEUE8iXSwgInByaXZhY3lfdXNhZ2VzIjogWyJyZXNlYXJjaCIsICJpbmNvbWVfbW9kZWxfZGV2ZWxvcG1lbnQiXSwgInJlY29yZF9pZCI6ICIwIiwgInZhbHVlIjogMTN9"
"D0_CensusRaw::record::0::cell::marital-status","DataCellArtifact","census","D0_CensusRaw::record::0::cell::marital-status","DataCellArtifact","demographic|quasi_identifier|personal_data","research|income_model_development","delete_on_request|retention_5y","DS|AU|DPO","eyJhcnRpZmFjdF9raW5kIjogIkRhdGFDZWxsQXJ0aWZhY3QiLCAiYXR0cmlidXRlIjogIm1hcml0YWwtc3RhdHVzIiwgImRhdGFzZXRfaWQiOiAiRDBfQ2Vuc3VzUmF3IiwgImR0eXBlIjogInN0ciIsICJwcml2YWN5X2Fubm90YXRpb25fc291cmNlcyI6IFsibWFudWFsIl0sICJwcml2YWN5X2NhdGVnb3JpZXMiOiBbImRlbW9ncmFwaGljIiwgInF1YXNpX2lkZW50aWZpZXIiLCAicGVyc29uYWxfZGF0YSJdLCAicHJpdmFjeV9jYXRlZ29yaWVzX2V4cGxpY2l0IjogWyJkZW1vZ3JhcGhpYyIsICJxdWFzaV9pZGVudGlmaWVyIl0sICJwcml2YWN5X2VyYXN1cmVzIjogWyJkZWxldGVfb25fcmVxdWVzdCIsICJyZXRlbnRpb25fNXkiXSwgInByaXZhY3lfcm9sZXMiOiBbIkRTIiwgIkFVIiwgIkRQTyJdLCAicHJpdmFjeV91c2FnZXMiOiBbInJlc2VhcmNoIiwgImluY29tZV9tb2RlbF9kZXZlbG9wbWVudCJdLCAicmVjb3JkX2lkIjogIjAiLCAidmFsdWUiOiAiIE5ldmVyLW1hcnJpZWQgIn0="
