"id","label","pipeline","name","type","privacy_categories","privacy_usages","privacy_erasures","privacy_roles","props_b64"
"compas_recidivism_pipeline","Pipeline","compas","compas_recidivism_pipeline","Pipeline","","","","","eyJuYW1lIjogImNvbXBhc19yZWNpZGl2aXNtX3BpcGVsaW5lIn0="
"run_fc7d525c22","PipelineRun","compas","run_fc7d525c22","PipelineRun","","","","","eyJQaXBlbGluZV9pZCI6ICJjb21wYXNfcmVjaWRpdmlzbV9waXBlbGluZSIsICJwdXJwb3NlIjogImNyaW1pbmFsX2p1c3RpY2VfcmVzZWFyY2giLCAic3RhcnRlZF9hdCI6IDE3ODA4MzQ3MjIuNDQxMjM0NH0="
"D0_COMPASRaw","DatasetArtifact","compas","D0_COMPASRaw","DatasetArtifact","","research|criminal_justice_research","delete_on_request|retention_5y","DS|AU|DPO","eyJhcnRpZmFjdF9raW5kIjogIkRhdGFzZXRBcnRpZmFjdCIsICJjb2x1bW5zIjogWyJhZ2UiLCAiY19jaGFyZ2VfZGVncmVlIiwgInJhY2UiLCAic2V4IiwgInByaW9yc19jb3VudCIsICJkYXlzX2Jfc2NyZWVuaW5nX2FycmVzdCIsICJ0d29feWVhcl9yZWNpZCIsICJjX2phaWxfaW4iLCAiY19qYWlsX291dCIsICJpcnJlbGV2YW50X2NvbCJdLCAibl9jb2xzIjogMTAsICJuX3Jvd3MiOiA2LCAibmFtZSI6ICJEMF9DT01QQVNSYXciLCAicHJpdmFjeV9hbm5vdGF0aW9uX3NvdXJjZXMiOiBbIm1hbnVhbCJdLCAicHJpdmFjeV9jYXRlZ29yaWVzIjogW10sICJwcml2YWN5X2NhdGVnb3JpZXNfZXhwbGljaXQiOiBbXSwgInByaXZhY3lfZXJhc3VyZXMiOiBbImRlbGV0ZV9vbl9yZXF1ZXN0IiwgInJldGVudGlvbl81eSJdLCAicHJpdmFjeV9yb2xlcyI6IFsiRFMiLCAiQVUiLCAiRFBPIl0sICJwcml2YWN5X3VzYWdlcyI6IFsicmVzZWFyY2giLCAiY3JpbWluYWxfanVzdGljZV9yZXNlYXJjaCJdLCAicmVjb3JkX2lkX2NvbCI6IG51bGwsICJyb2xlIjogInJhd19jb21wYXMiLCAic291cmNlIjogIm1hbnVhbF9yZWdpc3RlciJ9"
"D0_COMPASRaw::record::0","DataRecordArtifact","compas","D0_COMPASRaw::record::0","DataRecordArtifact","","research|criminal_justice_research","delete_on_request|retention_5y","DS|AU|DPO","eyJhcnRpZmFjdF9raW5kIjogIkRhdGFSZWNvcmRBcnRpZmFjdCIsICJkYXRhc2V0X2lkIjogIkQwX0NPTVBBU1JhdyIsICJwcml2YWN5X2Fubm90YXRpb25fc291cmNlcyI6IFsibWFudWFsIl0sICJwcml2YWN5X2NhdGVnb3JpZXMiOiBbXSwgInByaXZhY3lfY2F0ZWdvcmllc19leHBsaWNpdCI6IFtdLCAicHJpdmFjeV9lcmFzdXJlcyI6IFsiZGVsZXRlX29uX3JlcXVlc3QiLCAicmV0ZW50aW9uXzV5Il0sICJwcml2YWN5X3JvbGVzIjogWyJEUyIsICJBVSIsICJEUE8iXSwgInByaXZhY3lfdXNhZ2VzIjogWyJyZXNlYXJjaCIsICJjcmltaW5hbF9qdXN0aWNlX3Jlc2VhcmNoIl0sICJyZWNvcmRfaWQiOiAiMCJ9"
"D0_COMPASRaw::record::0::cell::age","DataCellArtifact","compas","D0_COMPASRaw::record::0::cell::age","DataCellArtifact","quasi_identifier|personal_data","research|criminal_justice_research","delete_on_request|retention_5y","DS|AU|DPO","eyJhcnRpZmFjdF9raW5kIjogIkRhdGFDZWxsQXJ0aWZhY3QiLCAiYXR0cmlidXRlIjogImFnZSIsICJkYXRhc2V0X2lkIjogIkQwX0NPTVBBU1JhdyIsICJkdHlwZSI6ICJpbnQ2NCIsICJwcml2YWN5X2Fubm90YXRpb25fc291cmNlcyI6IFsibWFudWFsIl0sICJwcml2YWN5X2NhdGVnb3JpZXMiOiBbInF1YXNpX2lkZW50aWZpZXIiLCAicGVyc29uYWxfZGF0YSJdLCAicHJpdmFjeV9jYXRlZ29yaWVzX2V4cGxpY2l0IjogWyJxdWFzaV9pZGVudGlmaWVyIl0sICJwcml2YWN5X2VyYXN1cmVzIjogWyJkZWxldGVfb25fcmVxdWVzdCIsICJyZXRlbnRpb25fNXkiXSwgInByaXZhY3lfcm9sZXMiOiBbIkRTIiwgIkFVIiwgIkRQTyJdLCAicHJpdmFjeV91c2FnZXMiOiBbInJlc2VhcmNoIiwgImNyaW1pbmFsX2p1c3RpY2VfcmVzZWFyY2giXSwgInJlY29yZF9pZCI6ICIwIiwgInZhbHVlIjogMjV9"
"D0_COMPASRaw::record::0::cell::c_charge_degree","DataCellArtifact","compas","D0_COMPASRaw::record::0::cell::c_charge_degree","DataCellArtifact","criminal_justice_sensitive|sensitive_personal_data","research|criminal_justice_research","delete_on_request|retention_5y","DS|AU|DPO","eyJhcnRpZmFjdF9raW5kIjogIkRhdGFDZWxsQXJ0aWZhY3QiLCAiYXR0cmlidXRlIjogImNfY2hhcmdlX2RlZ3JlZSIsICJkYXRhc2V0X2lkIjogIkQwX0NPTVBBU1JhdyIsICJkdHlwZSI6ICJzdHIiLCAicHJpdmFjeV9hbm5vdGF0aW9uX3NvdXJjZXMiOiBbIm1hbnVhbCJdLCAicHJpdmFjeV9jYXRlZ29yaWVzIjogWyJjcmltaW5hbF9qdXN0aWNlX3NlbnNpdGl2ZSIsICJzZW5zaXRpdmVfcGVyc29uYWxfZGF0YSJdLCAicHJpdmFjeV9jYXRlZ29yaWVzX2V4cGxpY2l0IjogWyJjcmltaW5hbF9qdXN0aWNlX3NlbnNpdGl2ZSJdLCAicHJpdmFjeV9lcmFzdXJlcyI6IFsiZGVsZXRlX29uX3JlcXVlc3QiLCAicmV0ZW50aW9uXzV5Il0sICJwcml2YWN5X3JvbGVzIjogWyJEUyIsICJBVSIsICJEUE8iXSwgInByaXZhY3lfdXNhZ2VzIjogWyJyZXNlYXJjaCIsICJjcmltaW5hbF9qdXN0aWNlX3Jlc2VhcmNoIl0sICJyZWNvcmRfaWQiOiAiMCIsICJ2YWx1ZSI6ICJGIn0="
"D0_COMPASRaw::record::0::cell::race","DataCellArtifact","compas","D0_COMPASRaw::record::0::cell::race","DataCellArtifact","race_ethnicity|protected_attribute|sensitive_personal_data","research|criminal_justice_research","delete_on_request|retention_5y","DS|AU|DPO","eyJhcnRpZmFjdF9raW5kIjogIkRhdGFDZWxsQXJ0aWZhY3QiLCAiYXR0cmlidXRlIjogInJhY2UiLCAiZGF0YXNldF9pZCI6ICJEMF9DT01QQVNSYXciLCAiZHR5cGUiOiAic3RyIiwgInByaXZhY3lfYW5ub3RhdGlvbl9zb3VyY2VzIjogWyJtYW51YWwiXSwgInByaXZhY3lfY2F0ZWdvcmllcyI6IFsicmFjZV9ldGhuaWNpdHkiLCAicHJvdGVjdGVkX2F0dHJpYnV0ZSIsICJzZW5zaXRpdmVfcGVyc29uYWxfZGF0YSJdLCAicHJpdmFjeV9jYXRlZ29yaWVzX2V4cGxpY2l0IjogWyJyYWNlX2V0aG5pY2l0eSIsICJwcm90ZWN0ZWRfYXR0cmlidXRlIl0sICJwcml2YWN5X2VyYXN1cmVzIjogWyJkZWxldGVfb25fcmVxdWVzdCIsICJyZXRlbnRpb25fNXkiXSwgInByaXZhY3lfcm9sZXMiOiBbIkRTIiwgIkFVIiwgIkRQTyJdLCAicHJpdmFjeV91c2FnZXMiOiBbInJlc2VhcmNoIiwgImNyaW1pbmFsX2p1c3RpY2VfcmVzZWFyY2giXSwgInJlY29yZF9pZCI6ICIwIiwgInZhbHVlIjogIkFmcmljYW4tQW1lcmljYW4ifQ=="
"D0_COMPASRaw::record::0::cell::sex","DataCellArtifact","compas","D0_COMPASRaw::record::0::cell::sex","DataCellArtifact","gender|protected_attribute|sensitive_personal_data","research|criminal_justice_research","delete_on_request|retention_5y","DS|AU|DPO","eyJhcnRpZmFjdF9raW5kIjogIkRhdGFDZWxsQXJ0aWZhY3QiLCAiYXR0cmlidXRlIjogInNleCIsICJkYXRhc2V0X2lkIjogIkQwX0NPTVBBU1JhdyIsICJkdHlwZSI6ICJzdHIiLCAicHJpdmFjeV9hbm5vdGF0aW9uX3NvdXJjZXMiOiBbIm1hbnVhbCJdLCAicHJpdmFjeV9jYXRlZ29yaWVzIjogWyJnZW5kZXIiLCAicHJvdGVjdGVkX2F0dHJpYnV0ZSIsICJzZW5zaXRpdmVfcGVyc29uYWxfZGF0YSJdLCAicHJpdmFjeV9jYXRlZ29yaWVzX2V4cGxpY2l0IjogWyJnZW5kZXIiLCAicHJvdGVjdGVkX2F0dHJpYnV0ZSJdLCAicHJpdmFjeV9lcmFzdXJlcyI6IFsiZGVsZXRlX29uX3JlcXVlc3QiLCAicmV0ZW50aW9uXzV5Il0sICJwcml2YWN5X3JvbGVzIjogWyJEUyIsICJBVSIsICJEUE8iXSwgInByaXZhY3lfdXNhZ2VzIjogWyJyZXNlYXJjaCIsICJjcmltaW5hbF9qdXN0aWNlX3Jlc2VhcmNoIl0sICJyZWNvcmRfaWQiOiAiMCIsICJ2YWx1ZSI6ICJNYWxlIn0="
"D0_COMPASRaw::record::0::cell::priors_count","DataCellArtifact","compas","D0_COMPASRaw::record::0::cell::priors_count","DataCellArtifact","criminal_justice_sensitive|sensitive_personal_data","research|criminal_justice_research","delete_on_request|retention_5y","DS|AU|DPO","eyJhcnRpZmFjdF9raW5kIjogIkRhdGFDZWxsQXJ0aWZhY3QiLCAiYXR0cmlidXRlIjogInByaW9yc19jb3VudCIsICJkYXRhc2V0X2lkIjogIkQwX0NPTVBBU1JhdyIsICJkdHlwZSI6ICJpbnQ2NCIsICJwcml2YWN5X2Fubm90YXRpb25fc291cmNlcyI6IFsibWFudWFsIl0sICJwcml2YWN5X2NhdGVnb3JpZXMiOiBbImNyaW1pbmFsX2p1c3RpY2Vfc2Vuc2l0aXZlIiwgInNlbnNpdGl2ZV9wZXJzb25hbF9kYXRhIl0sICJwcml2YWN5X2NhdGVnb3JpZXNfZXhwbGljaXQiOiBbImNyaW1pbmFsX2p1c3RpY2Vfc2Vuc2l0aXZlIl0sICJwcml2YWN5X2VyYXN1cmVzIjogWyJkZWxldGVfb25fcmVxdWVzdCIsICJyZXRlbnRpb25fNXkiXSwgInByaXZhY3lfcm9sZXMiOiBbIkRTIiwgIkFVIiwgIkRQTyJdLCAicHJpdmFjeV91c2FnZXMiOiBbInJlc2VhcmNoIiwgImNyaW1pbmFsX2p1c3RpY2VfcmVzZWFyY2giXSwgInJlY29yZF9pZCI6ICIwIiwgInZhbHVlIjogMn0="
"D0_COMPASRaw::record::0::cell::days_b_screening_arrest","DataCellArtifact","compas","D0_COMPASRaw::record::0::cell::days_b_screening_arrest","DataCellArtifact","criminal_justice_sensitive|temporal_quasi_identifier|sensitive_personal_data","research|criminal_justice_research","delete_on_request|retention_5y","DS|AU|DPO","eyJhcnRpZmFjdF9raW5kIjogIkRhdGFDZWxsQXJ0aWZhY3QiLCAiYXR0cmlidXRlIjogImRheXNfYl9zY3JlZW5pbmdfYXJyZXN0IiwgImRhdGFzZXRfaWQiOiAiRDBfQ09NUEFTUmF3IiwgImR0eXBlIjogImZsb2F0NjQiLCAicHJpdmFjeV9hbm5vdGF0aW9uX3NvdXJjZXMiOiBbIm1hbnVhbCJdLCAicHJpdmFjeV9jYXRlZ29yaWVzIjogWyJjcmltaW5hbF9qdXN0aWNlX3NlbnNpdGl2ZSIsICJ0ZW1wb3JhbF9xdWFzaV9pZGVudGlmaWVyIiwgInNlbnNpdGl2ZV9wZXJzb25hbF9kYXRhIl0sICJwcml2YWN5X2NhdGVnb3JpZXNfZXhwbGljaXQiOiBbImNyaW1pbmFsX2p1c3RpY2Vfc2Vuc2l0aXZlIiwgInRlbXBvcmFsX3F1YXNpX2lkZW50aWZpZXIiXSwgInByaXZhY3lfZXJhc3VyZXMiOiBbImRlbGV0ZV9vbl9yZXF1ZXN0IiwgInJldGVudGlvbl81eSJdLCAicHJpdmFjeV9yb2xlcyI6IFsiRFMiLCAiQVUiLCAiRFBPIl0sICJwcml2YWN5X3VzYWdlcyI6IFsicmVzZWFyY2giLCAiY3JpbWluYWxfanVzdGljZV9yZXNlYXJjaCJdLCAicmVjb3JkX2lkIjogIjAiLCAidmFsdWUiOiAtMS4wfQ=="
"D0_COMPASRaw::record::0::cell::two_year_recid","DataCellArtifact","compas","D0_COMPASRaw::record::0::cell::two_year_recid","DataCellArtifact","criminal_justice_sensitive|behavioural_sensitive|sensitive_personal_data","research|criminal_justice_research","delete_on_request|retention_5y","DS|AU|DPO","eyJhcnRpZmFjdF9raW5kIjogIkRhdGFDZWxsQXJ0aWZhY3QiLCAiYXR0cmlidXRlIjogInR3b195ZWFyX3JlY2lkIiwgImRhdGFzZXRfaWQiOiAiRDBfQ09NUEFTUmF3IiwgImR0eXBlIjogImludDY0IiwgInByaXZhY3lfYW5ub3RhdGlvbl9zb3VyY2VzIjogWyJtYW51YWwiXSwgInByaXZhY3lfY2F0ZWdvcmllcyI6IFsiY3JpbWluYWxfanVzdGljZV9zZW5zaXRpdmUiLCAiYmVoYXZpb3VyYWxfc2Vuc2l0aXZlIiwgInNlbnNpdGl2ZV9wZXJzb25hbF9kYXRhIl0sICJwcml2YWN5X2NhdGVnb3JpZXNfZXhwbGljaXQiOiBbImNyaW1pbmFsX2p1c3RpY2Vfc2Vuc2l0aXZlIiwgImJlaGF2aW91cmFsX3NlbnNpdGl2ZSJdLCAicHJpdmFjeV9lcmFzdXJlcyI6IFsiZGVsZXRlX29uX3JlcXVlc3QiLCAicmV0ZW50aW9uXzV5Il0sICJwcml2YWN5X3JvbGVzIjogWyJEUyIsICJBVSIsICJEUE8iXSwgInByaXZhY3lfdXNhZ2VzIjogWyJyZXNlYXJjaCIsICJjcmltaW5hbF9qdXN0aWNlX3Jlc2VhcmNoIl0sICJyZWNvcmRfaWQiOiAiMCIsICJ2YWx1ZSI6IDF9"
"D0_COMPASRaw::record::0::cell::c_jail_in","DataCellArtifact","compas","D0_COMPASRaw::record::0::cell::c_jail_in","DataCellArtifact","criminal_justice_sensitive|temporal_quasi_identifier|sensitive_personal_data","research|criminal_justice_research","delete_on_request|retention_5y","DS|AU|DPO","eyJhcnRpZmFjdF9raW5kIjogIkRhdGFDZWxsQXJ0aWZhY3QiLCAiYXR0cmlidXRlIjogImNfamFpbF9pbiIsICJkYXRhc2V0X2lkIjogIkQwX0NPTVBBU1JhdyIsICJkdHlwZSI6ICJzdHIiLCAicHJpdmFjeV9hbm5vdGF0aW9uX3NvdXJjZXMiOiBbIm1hbnVhbCJdLCAicHJpdmFjeV9jYXRlZ29yaWVzIjogWyJjcmltaW5hbF9qdXN0aWNlX3NlbnNpdGl2ZSIsICJ0ZW1wb3JhbF9xdWFzaV9pZGVudGlmaWVyIiwgInNlbnNpdGl2ZV9wZXJzb25hbF9kYXRhIl0sICJwcml2YWN5X2NhdGVnb3JpZXNfZXhwbGljaXQiOiBbImNyaW1pbmFsX2p1c3RpY2Vfc2Vuc2l0aXZlIiwgInRlbXBvcmFsX3F1YXNpX2lkZW50aWZpZXIiXSwgInByaXZhY3lfZXJhc3VyZXMiOiBbImRlbGV0ZV9vbl9yZXF1ZXN0IiwgInJldGVudGlvbl81eSJdLCAicHJpdmFjeV9yb2xlcyI6IFsiRFMiLCAiQVUiLCAiRFBPIl0sICJwcml2YWN5X3VzYWdlcyI6IFsicmVzZWFyY2giLCAiY3JpbWluYWxfanVzdGljZV9yZXNlYXJjaCJdLCAicmVjb3JkX2lkIjogIjAiLCAidmFsdWUiOiAiMjAxMy0wMS0wMSJ9"
"D0_COMPASRaw::record::0::cell::c_jail_out","DataCellArtifact","compas","D0_COMPASRaw::record::0::cell::c_jail_out","DataCellArtifact","criminal_justice_sensitive|temporal_quasi_identifier|sensitive_personal_data","research|criminal_justice_research","delete_on_request|retention_5y","DS|AU|DPO","eyJhcnRpZmFjdF9raW5kIjogIkRhdGFDZWxsQXJ0aWZhY3QiLCAiYXR0cmlidXRlIjogImNfamFpbF9vdXQiLCAiZGF0YXNldF9pZCI6ICJEMF9DT01QQVNSYXciLCAiZHR5cGUiOiAic3RyIiwgInByaXZhY3lfYW5ub3RhdGlvbl9zb3VyY2VzIjogWyJtYW51YWwiXSwgInByaXZhY3lfY2F0ZWdvcmllcyI6IFsiY3JpbWluYWxfanVzdGljZV9zZW5zaXRpdmUiLCAidGVtcG9yYWxfcXVhc2lfaWRlbnRpZmllciIsICJzZW5zaXRpdmVfcGVyc29uYWxfZGF0YSJdLCAicHJpdmFjeV9jYXRlZ29yaWVzX2V4cGxpY2l0IjogWyJjcmltaW5hbF9qdXN0aWNlX3NlbnNpdGl2ZSIsICJ0ZW1wb3JhbF9xdWFzaV9pZGVudGlmaWVyIl0sICJwcml2YWN5X2VyYXN1cmVzIjogWyJkZWxldGVfb25fcmVxdWVzdCIsICJyZXRlbnRpb25fNXkiXSwgInByaXZhY3lfcm9sZXMiOiBbIkRTIiwgIkFVIiwgIkRQTyJdLCAicHJpdmFjeV91c2FnZXMiOiBbInJlc2VhcmNoIiwgImNyaW1pbmFsX2p1c3RpY2VfcmVzZWFyY2giXSwgInJlY29yZF9pZCI6ICIwIiwgInZhbHVlIjogIjIwMTMtMDEtMTAifQ=="
"D0_COMPASRaw::record::0::cell::irrelevant_col","DataCellArtifact","compas","D0_COMPASRaw::record::0::cell::irrelevant_col","DataCellArtifact","","","","","eyJhcnRpZmFjdF9raW5kIjogIkRhdGFDZWxsQXJ0aWZhY3QiLCAiYXR0cmlidXRlIjogImlycmVsZXZhbnRfY29sIiwgImRhdGFzZXRfaWQiOiAiRDBfQ09NUEFTUmF3IiwgImR0eXBlIjogInN0ciIsICJyZWNvcmRfaWQiOiAiMCIsICJ2YWx1ZSI6ICJ4In0="
"D0_COMPASRaw::record::1","DataRecordArtifact","compas","D0_COMPASRaw::record::1","DataRecordArtifact","","research|criminal_justice_research","delete_on_request|retention_5y","DS|AU|DPO","eyJhcnRpZmFjdF9raW5kIjogIkRhdGFSZWNvcmRBcnRpZmFjdCIsICJkYXRhc2V0X2lkIjogIkQwX0NPTVBBU1JhdyIsICJwcml2YWN5X2Fubm90YXRpb25fc291cmNlcyI6IFsibWFudWFsIl0sICJwcml2YWN5X2NhdGVnb3JpZXMiOiBbXSwgInByaXZhY3lfY2F0ZWdvcmllc19leHBsaWNpdCI6IFtdLCAicHJpdmFjeV9lcmFzdXJlcyI6IFsiZGVsZXRlX29uX3JlcXVlc3QiLCAicmV0ZW50aW9uXzV5Il0sICJwcml2YWN5X3JvbGVzIjogWyJEUyIsICJBVSIsICJEUE8iXSwgInByaXZhY3lfdXNhZ2VzIjogWyJyZXNlYXJjaCIsICJjcmltaW5hbF9qdXN0aWNlX3Jlc2VhcmNoIl0sICJyZWNvcmRfaWQiOiAiMSJ9"
"D0_COMPASRaw::record::1::cell::age","DataCellArtifact","compas","D0_COMPASRaw::record::1::cell::age","DataCellArtifact","quasi_identifier|personal_data","research|criminal_justice_research","delete_on_request|retention_5y","DS|AU|DPO","eyJhcnRpZmFjdF9raW5kIjogIkRhdGFDZWxsQXJ0aWZhY3QiLCAiYXR0cmlidXRlIjogImFnZSIsICJkYXRhc2V0X2lkIjogIkQwX0NPTVBBU1JhdyIsICJkdHlwZSI6ICJpbnQ2NCIsICJwcml2YWN5X2Fubm90YXRpb25fc291cmNlcyI6IFsibWFudWFsIl0sICJwcml2YWN5X2NhdGVnb3JpZXMiOiBbInF1YXNpX2lkZW50aWZpZXIiLCAicGVyc29uYWxfZGF0YSJdLCAicHJpdmFjeV9jYXRlZ29yaWVzX2V4cGxpY2l0IjogWyJxdWFzaV9pZGVudGlmaWVyIl0sICJwcml2YWN5X2VyYXN1cmVzIjogWyJkZWxldGVfb25fcmVxdWVzdCIsICJyZXRlbnRpb25fNXkiXSwgInByaXZhY3lfcm9sZXMiOiBbIkRTIiwgIkFVIiwgIkRQTyJdLCAicHJpdmFjeV91c2FnZXMiOiBbInJlc2VhcmNoIiwgImNyaW1pbmFsX2p1c3RpY2VfcmVzZWFyY2giXSwgInJlY29yZF9pZCI6ICIxIiwgInZhbHVlIjogMzR9"
"D0_COMPASRaw::record::1::cell::c_charge_degree","DataCellArtifact","compas","D0_COMPASRaw::record::1::cell::c_charge_degree","DataCellArtifact","criminal_justice_sensitive|sensitive_personal_data","research|criminal_justice_research","delete_on_request|retention_5y","DS|AU|DPO","eyJhcnRpZmFjdF9raW5kIjogIkRhdGFDZWxsQXJ0aWZhY3QiLCAiYXR0cmlidXRlIjogImNfY2hhcmdlX2RlZ3JlZSIsICJkYXRhc2V0X2lkIjogIkQwX0NPTVBBU1JhdyIsICJkdHlwZSI6ICJzdHIiLCAicHJpdmFjeV9hbm5vdGF0aW9uX3NvdXJjZXMiOiBbIm1hbnVhbCJdLCAicHJpdmFjeV9jYXRlZ29yaWVzIjogWyJjcmltaW5hbF9qdXN0aWNlX3NlbnNpdGl2ZSIsICJzZW5zaXRpdmVfcGVyc29uYWxfZGF0YSJdLCAicHJpdmFjeV9jYXRlZ29yaWVzX2V4cGxpY2l0IjogWyJjcmltaW5hbF9qdXN0aWNlX3NlbnNpdGl2ZSJdLCAicHJpdmFjeV9lcmFzdXJlcyI6IFsiZGVsZXRlX29uX3JlcXVlc3QiLCAicmV0ZW50aW9uXzV5Il0sICJwcml2YWN5X3JvbGVzIjogWyJEUyIsICJBVSIsICJEUE8iXSwgInByaXZhY3lfdXNhZ2VzIjogWyJyZXNlYXJjaCIsICJjcmltaW5hbF9qdXN0aWNlX3Jlc2VhcmNoIl0sICJyZWNvcmRfaWQiOiAiMSIsICJ2YWx1ZSI6ICJNIn0="
