"source","target","type","pipeline","props_b64"
"run_fc7d525c22","compas_recidivism_pipeline","executes","compas","eyJlbmRfbGFiZWwiOiAiUGlwZWxpbmUiLCAic3RhcnRfbGFiZWwiOiAiUGlwZWxpbmVSdW4ifQ=="
"D0_COMPASRaw","D0_COMPASRaw::record::0","containsDR","compas","eyJlbmRfbGFiZWwiOiAiRGF0YVJlY29yZEFydGlmYWN0IiwgInN0YXJ0X2xhYmVsIjogIkRhdGFzZXRBcnRpZmFjdCJ9"
"D0_COMPASRaw::record::0","D0_COMPASRaw::record::0::cell::age","containsRC","compas","eyJlbmRfbGFiZWwiOiAiRGF0YUNlbGxBcnRpZmFjdCIsICJzdGFydF9sYWJlbCI6ICJEYXRhUmVjb3JkQXJ0aWZhY3QifQ=="
"D0_COMPASRaw::record::0","D0_COMPASRaw::record::0::cell::c_charge_degree","containsRC","compas","eyJlbmRfbGFiZWwiOiAiRGF0YUNlbGxBcnRpZmFjdCIsICJzdGFydF9sYWJlbCI6ICJEYXRhUmVjb3JkQXJ0aWZhY3QifQ=="
"D0_COMPASRaw::record::0","D0_COMPASRaw::record::0::cell::race","containsRC","compas","eyJlbmRfbGFiZWwiOiAiRGF0YUNlbGxBcnRpZmFjdCIsICJzdGFydF9sYWJlbCI6ICJEYXRhUmVjb3JkQXJ0aWZhY3QifQ=="
"D0_COMPASRaw::record::0","D0_COMPASRaw::record::0::cell::sex","containsRC","compas","eyJlbmRfbGFiZWwiOiAiRGF0YUNlbGxBcnRpZmFjdCIsICJzdGFydF9sYWJlbCI6ICJEYXRhUmVjb3JkQXJ0aWZhY3QifQ=="
"D0_COMPASRaw::record::0","D0_COMPASRaw::record::0::cell::priors_count","containsRC","compas","eyJlbmRfbGFiZWwiOiAiRGF0YUNlbGxBcnRpZmFjdCIsICJzdGFydF9sYWJlbCI6ICJEYXRhUmVjb3JkQXJ0aWZhY3QifQ=="
"D0_COMPASRaw::record::0","D0_COMPASRaw::record::0::cell::days_b_screening_arrest","containsRC","compas","eyJlbmRfbGFiZWwiOiAiRGF0YUNlbGxBcnRpZmFjdCIsICJzdGFydF9sYWJlbCI6ICJEYXRhUmVjb3JkQXJ0aWZhY3QifQ=="
"D0_COMPASRaw::record::0","D0_COMPASRaw::record::0::cell::two_year_recid","containsRC","compas","eyJlbmRfbGFiZWwiOiAiRGF0YUNlbGxBcnRpZmFjdCIsICJzdGFydF9sYWJlbCI6ICJEYXRhUmVjb3JkQXJ0aWZhY3QifQ=="
"D0_COMPASRaw::record::0","D0_COMPASRaw::record::0::cell::c_jail_in","containsRC","compas","eyJlbmRfbGFiZWwiOiAiRGF0YUNlbGxBcnRpZmFjdCIsICJzdGFydF9sYWJlbCI6ICJEYXRhUmVjb3JkQXJ0aWZhY3QifQ=="
"D0_COMPASRaw::record::0","D0_COMPASRaw::record::0::cell::c_jail_out","containsRC","compas","eyJlbmRfbGFiZWwiOiAiRGF0YUNlbGxBcnRpZmFjdCIsICJzdGFydF9sYWJlbCI6ICJEYXRhUmVjb3JkQXJ0aWZhY3QifQ=="
"D0_COMPASRaw::record::0","D0_COMPASRaw::record::0::cell::irrelevant_col","containsRC","compas","eyJlbmRfbGFiZWwiOiAiRGF0YUNlbGxBcnRpZmFjdCIsICJzdGFydF9sYWJlbCI6ICJEYXRhUmVjb3JkQXJ0aWZhY3QifQ=="
"D0_COMPASRaw","D0_COMPASRaw::record::1","containsDR","compas","eyJlbmRfbGFiZWwiOiAiRGF0YVJlY29yZEFydGlmYWN0IiwgInN0YXJ0X2xhYmVsIjogIkRhdGFzZXRBcnRpZmFjdCJ9"
