"id","label","pipeline","name","type","privacy_categories","privacy_usages","privacy_erasures","privacy_roles","props_b64"
"german_credit_pipeline","Pipeline","german","german_credit_pipeline","Pipeline","","","","","eyJuYW1lIjogImdlcm1hbl9jcmVkaXRfcGlwZWxpbmUifQ=="
"run_cbe9ff2508","PipelineRun","german","run_cbe9ff2508","PipelineRun","","","","","eyJQaXBlbGluZV9pZCI6ICJnZXJtYW5fY3JlZGl0X3BpcGVsaW5lIiwgInB1cnBvc2UiOiAiY3JlZGl0X3Jpc2tfcmVzZWFyY2giLCAic3RhcnRlZF9hdCI6IDE3ODA4MzQ4ODkuMTc4MDQ5OH0="
"D0_GermanRaw","DatasetArtifact","german","D0_GermanRaw","DatasetArtifact","","research|credit_risk_research","delete_on_request|retention_5y","DS|AU|DPO","eyJhcnRpZmFjdF9raW5kIjogIkRhdGFzZXRBcnRpZmFjdCIsICJjb2x1bW5zIjogWyJjaGVja2luZyIsICJkdXJhdGlvbiIsICJjcmVkaXRfaGlzdG9yeSIsICJwdXJwb3NlIiwgImFtb3VudCIsICJzYXZpbmdzIiwgImVtcGxveW1lbnQiLCAiaW5zdGFsbG1lbnRfcmF0ZSIsICJwZXJzb25hbF9zdGF0dXMiLCAib3RoZXJfZGVidG9ycyIsICJyZXNpZGVuY2Vfc2luY2UiLCAicHJvcGVydHkiLCAiYWdlIiwgIm90aGVyX2luc3QiLCAiaG91c2luZyIsICJleGlzdGluZ19jcmVkaXRzIiwgImpvYiIsICJwZW9wbGVfbGlhYmxlIiwgInBob25lIiwgImZvcmVpZ25lciIsICJsYWJlbCJdLCAibl9jb2xzIjogMjEsICJuX3Jvd3MiOiA2LCAibmFtZSI6ICJEMF9HZXJtYW5SYXciLCAicHJpdmFjeV9hbm5vdGF0aW9uX3NvdXJjZXMiOiBbIm1hbnVhbCJdLCAicHJpdmFjeV9jYXRlZ29yaWVzIjogW10sICJwcml2YWN5X2NhdGVnb3JpZXNfZXhwbGljaXQiOiBbXSwgInByaXZhY3lfZXJhc3VyZXMiOiBbImRlbGV0ZV9vbl9yZXF1ZXN0IiwgInJldGVudGlvbl81eSJdLCAicHJpdmFjeV9yb2xlcyI6IFsiRFMiLCAiQVUiLCAiRFBPIl0sICJwcml2YWN5X3VzYWdlcyI6IFsicmVzZWFyY2giLCAiY3JlZGl0X3Jpc2tfcmVzZWFyY2giXSwgInJlY29yZF9pZF9jb2wiOiBudWxsLCAicm9sZSI6ICJyYXdfZ2VybWFuX2NyZWRpdCIsICJzb3VyY2UiOiAibWFudWFsX3JlZ2lzdGVyIn0="
"D0_GermanRaw::record::0","DataRecordArtifact","german","D0_GermanRaw::record::0","DataRecordArtifact","","research|credit_risk_research","delete_on_request|retention_5y","DS|AU|DPO","eyJhcnRpZmFjdF9raW5kIjogIkRhdGFSZWNvcmRBcnRpZmFjdCIsICJkYXRhc2V0X2lkIjogIkQwX0dlcm1hblJhdyIsICJwcml2YWN5X2Fubm90YXRpb25fc291cmNlcyI6IFsibWFudWFsIl0sICJwcml2YWN5X2NhdGVnb3JpZXMiOiBbXSwgInByaXZhY3lfY2F0ZWdvcmllc19leHBsaWNpdCI6IFtdLCAicHJpdmFjeV9lcmFzdXJlcyI6IFsiZGVsZXRlX29uX3JlcXVlc3QiLCAicmV0ZW50aW9uXzV5Il0sICJwcml2YWN5X3JvbGVzIjogWyJEUyIsICJBVSIsICJEUE8iXSwgInByaXZhY3lfdXNhZ2VzIjogWyJyZXNlYXJjaCIsICJjcmVkaXRfcmlza19yZXNlYXJjaCJdLCAicmVjb3JkX2lkIjogIjAifQ=="
"D0_GermanRaw::record::0::cell::checking","DataCellArtifact","german","D0_GermanRaw::record::0::cell::checking","DataCellArtifact","financial_sensitive|sensitive_personal_data","research|credit_risk_research","delete_on_request|retention_5y","DS|AU|DPO","eyJhcnRpZmFjdF9raW5kIjogIkRhdGFDZWxsQXJ0aWZhY3QiLCAiYXR0cmlidXRlIjogImNoZWNraW5nIiwgImRhdGFzZXRfaWQiOiAiRDBfR2VybWFuUmF3IiwgImR0eXBlIjogInN0ciIsICJwcml2YWN5X2Fubm90YXRpb25fc291cmNlcyI6IFsibWFudWFsIl0sICJwcml2YWN5X2NhdGVnb3JpZXMiOiBbImZpbmFuY2lhbF9zZW5zaXRpdmUiLCAic2Vuc2l0aXZlX3BlcnNvbmFsX2RhdGEiXSwgInByaXZhY3lfY2F0ZWdvcmllc19leHBsaWNpdCI6IFsiZmluYW5jaWFsX3NlbnNpdGl2ZSJdLCAicHJpdmFjeV9lcmFzdXJlcyI6IFsiZGVsZXRlX29uX3JlcXVlc3QiLCAicmV0ZW50aW9uXzV5Il0sICJwcml2YWN5X3JvbGVzIjogWyJEUyIsICJBVSIsICJEUE8iXSwgInByaXZhY3lfdXNhZ2VzIjogWyJyZXNlYXJjaCIsICJjcmVkaXRfcmlza19yZXNlYXJjaCJdLCAicmVjb3JkX2lkIjogIjAiLCAidmFsdWUiOiAiQTExIn0="
"D0_GermanRaw::record::0::cell::duration","DataCellArtifact","german","D0_GermanRaw::record::0::cell::duration","DataCellArtifact","financial_sensitive|sensitive_personal_data","research|credit_risk_research","delete_on_request|retention_5y","DS|AU|DPO","eyJhcnRpZmFjdF9raW5kIjogIkRhdGFDZWxsQXJ0aWZhY3QiLCAiYXR0cmlidXRlIjogImR1cmF0aW9uIiwgImRhdGFzZXRfaWQiOiAiRDBfR2VybWFuUmF3IiwgImR0eXBlIjogImludDY0IiwgInByaXZhY3lfYW5ub3RhdGlvbl9zb3VyY2VzIjogWyJtYW51YWwiXSwgInByaXZhY3lfY2F0ZWdvcmllcyI6IFsiZmluYW5jaWFsX3NlbnNpdGl2ZSIsICJzZW5zaXRpdmVfcGVyc29uYWxfZGF0YSJdLCAicHJpdmFjeV9jYXRlZ29yaWVzX2V4cGxpY2l0IjogWyJmaW5hbmNpYWxfc2Vuc2l0aXZlIl0sICJwcml2YWN5X2VyYXN1cmVzIjogWyJkZWxldGVfb25fcmVxdWVzdCIsICJyZXRlbnRpb25fNXkiXSwgInByaXZhY3lfcm9sZXMiOiBbIkRTIiwgIkFVIiwgIkRQTyJdLCAicHJpdmFjeV91c2FnZXMiOiBbInJlc2VhcmNoIiwgImNyZWRpdF9yaXNrX3Jlc2VhcmNoIl0sICJyZWNvcmRfaWQiOiAiMCIsICJ2YWx1ZSI6IDZ9"
"D0_GermanRaw::record::0::cell::credit_history","DataCellArtifact","german","D0_GermanRaw::record::0::cell::credit_history","DataCellArtifact","financial_sensitive|credit_history_sensitive|sensitive_personal_data","research|credit_risk_research","delete_on_request|retention_5y","DS|AU|DPO","eyJhcnRpZmFjdF9raW5kIjogIkRhdGFDZWxsQXJ0aWZhY3QiLCAiYXR0cmlidXRlIjogImNyZWRpdF9oaXN0b3J5IiwgImRhdGFzZXRfaWQiOiAiRDBfR2VybWFuUmF3IiwgImR0eXBlIjogInN0ciIsICJwcml2YWN5X2Fubm90YXRpb25fc291cmNlcyI6IFsibWFudWFsIl0sICJwcml2YWN5X2NhdGVnb3JpZXMiOiBbImZpbmFuY2lhbF9zZW5zaXRpdmUiLCAiY3JlZGl0X2hpc3Rvcnlfc2Vuc2l0aXZlIiwgInNlbnNpdGl2ZV9wZXJzb25hbF9kYXRhIl0sICJwcml2YWN5X2NhdGVnb3JpZXNfZXhwbGljaXQiOiBbImZpbmFuY2lhbF9zZW5zaXRpdmUiLCAiY3JlZGl0X2hpc3Rvcnlfc2Vuc2l0aXZlIl0sICJwcml2YWN5X2VyYXN1cmVzIjogWyJkZWxldGVfb25fcmVxdWVzdCIsICJyZXRlbnRpb25fNXkiXSwgInByaXZhY3lfcm9sZXMiOiBbIkRTIiwgIkFVIiwgIkRQTyJdLCAicHJpdmFjeV91c2FnZXMiOiBbInJlc2VhcmNoIiwgImNyZWRpdF9yaXNrX3Jlc2VhcmNoIl0sICJyZWNvcmRfaWQiOiAiMCIsICJ2YWx1ZSI6ICJBMzQifQ=="
"D0_GermanRaw::record::0::cell::purpose","DataCellArtifact","german","D0_GermanRaw::record::0::cell::purpose","DataCellArtifact","financial_sensitive|loan_purpose|sensitive_personal_data","research|credit_risk_research","delete_on_request|retention_5y","DS|AU|DPO","eyJhcnRpZmFjdF9raW5kIjogIkRhdGFDZWxsQXJ0aWZhY3QiLCAiYXR0cmlidXRlIjogInB1cnBvc2UiLCAiZGF0YXNldF9pZCI6ICJEMF9HZXJtYW5SYXciLCAiZHR5cGUiOiAic3RyIiwgInByaXZhY3lfYW5ub3RhdGlvbl9zb3VyY2VzIjogWyJtYW51YWwiXSwgInByaXZhY3lfY2F0ZWdvcmllcyI6IFsiZmluYW5jaWFsX3NlbnNpdGl2ZSIsICJsb2FuX3B1cnBvc2UiLCAic2Vuc2l0aXZlX3BlcnNvbmFsX2RhdGEiXSwgInByaXZhY3lfY2F0ZWdvcmllc19leHBsaWNpdCI6IFsiZmluYW5jaWFsX3NlbnNpdGl2ZSIsICJsb2FuX3B1cnBvc2UiXSwgInByaXZhY3lfZXJhc3VyZXMiOiBbImRlbGV0ZV9vbl9yZXF1ZXN0IiwgInJldGVudGlvbl81eSJdLCAicHJpdmFjeV9yb2xlcyI6IFsiRFMiLCAiQVUiLCAiRFBPIl0sICJwcml2YWN5X3VzYWdlcyI6IFsicmVzZWFyY2giLCAiY3JlZGl0X3Jpc2tfcmVzZWFyY2giXSwgInJlY29yZF9pZCI6ICIwIiwgInZhbHVlIjogIkE0MyJ9"
"D0_GermanRaw::record::0::cell::amount","DataCellArtifact","german","D0_GermanRaw::record::0::cell::amount","DataCellArtifact","financial_sensitive|sensitive_personal_data","research|credit_risk_research","delete_on_request|retention_5y","DS|AU|DPO","eyJhcnRpZmFjdF9raW5kIjogIkRhdGFDZWxsQXJ0aWZhY3QiLCAiYXR0cmlidXRlIjogImFtb3VudCIsICJkYXRhc2V0X2lkIjogIkQwX0dlcm1hblJhdyIsICJkdHlwZSI6ICJpbnQ2NCIsICJwcml2YWN5X2Fubm90YXRpb25fc291cmNlcyI6IFsibWFudWFsIl0sICJwcml2YWN5X2NhdGVnb3JpZXMiOiBbImZpbmFuY2lhbF9zZW5zaXRpdmUiLCAic2Vuc2l0aXZlX3BlcnNvbmFsX2RhdGEiXSwgInByaXZhY3lfY2F0ZWdvcmllc19leHBsaWNpdCI6IFsiZmluYW5jaWFsX3NlbnNpdGl2ZSJdLCAicHJpdmFjeV9lcmFzdXJlcyI6IFsiZGVsZXRlX29uX3JlcXVlc3QiLCAicmV0ZW50aW9uXzV5Il0sICJwcml2YWN5X3JvbGVzIjogWyJEUyIsICJBVSIsICJEUE8iXSwgInByaXZhY3lfdXNhZ2VzIjogWyJyZXNlYXJjaCIsICJjcmVkaXRfcmlza19yZXNlYXJjaCJdLCAicmVjb3JkX2lkIjogIjAiLCAidmFsdWUiOiAxMTY5fQ=="
"D0_GermanRaw::record::0::cell::savings","DataCellArtifact","german","D0_GermanRaw::record::0::cell::savings","DataCellArtifact","financial_sensitive|sensitive_personal_data","research|credit_risk_research","delete_on_request|retention_5y","DS|AU|DPO","eyJhcnRpZmFjdF9raW5kIjogIkRhdGFDZWxsQXJ0aWZhY3QiLCAiYXR0cmlidXRlIjogInNhdmluZ3MiLCAiZGF0YXNldF9pZCI6ICJEMF9HZXJtYW5SYXciLCAiZHR5cGUiOiAic3RyIiwgInByaXZhY3lfYW5ub3RhdGlvbl9zb3VyY2VzIjogWyJtYW51YWwiXSwgInByaXZhY3lfY2F0ZWdvcmllcyI6IFsiZmluYW5jaWFsX3NlbnNpdGl2ZSIsICJzZW5zaXRpdmVfcGVyc29uYWxfZGF0YSJdLCAicHJpdmFjeV9jYXRlZ29yaWVzX2V4cGxpY2l0IjogWyJmaW5hbmNpYWxfc2Vuc2l0aXZlIl0sICJwcml2YWN5X2VyYXN1cmVzIjogWyJkZWxldGVfb25fcmVxdWVzdCIsICJyZXRlbnRpb25fNXkiXSwgInByaXZhY3lfcm9sZXMiOiBbIkRTIiwgIkFVIiwgIkRQTyJdLCAicHJpdmFjeV91c2FnZXMiOiBbInJlc2VhcmNoIiwgImNyZWRpdF9yaXNrX3Jlc2VhcmNoIl0sICJyZWNvcmRfaWQiOiAiMCIsICJ2YWx1ZSI6ICJBNjUifQ=="
